SL. No.,Head of Crime,Percentage of Cases not Investigated or Mistake of Fact or Law Non Cognizable to Total Cases for Investigation,Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Arms Act,0.5,86.9,12.6,97.3
2,Opium Act,0.2,72.6,27.3,97.4
3,Gambling Act,3.1,94.1,2.8,99.2
4,Excise Act,0.5,83.4,16.1,98.1
5,Prohibition Act,9.8,47.6,42.6,83.1
6,Explosive & Explosive Substances Act,3,58,39,73.5
7,Suppression of Immoral Traffic Act,0.2,97.9,1.8,96.8
8,Motor Vehicles Act,0.1,99.1,0.8,99.8
9,Prevention of Corruption Act,1.4,67.1,31.4,90.3
10,Customs Act,14.5,78.6,6.8,42.4
11,Indian Railways Act,0.6,97.4,2,97
12,Other Offences,2.1,95.2,2.7,99
13,Total of Local and Special Laws,3,85.4,11.6,97.2
