SL. No. (Col. 1),Head of Crime (Col. 2),Total Number of Cases for Investigation During the Year Including the Cases Carried over from Previous Year (Col. 3),Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable (Col. 4),Number of Cases Other than Shown in Column 4 in which Investigation was Completed (Col. 5),Number of Cases in which Chargesheets were Laid (Col. 6),Number of Cases in which Could not be Sent for Trial for Want of Evidence (Col. 7),Number of Cases Pending Investigation at the End of the Year (Col. 8)
1,Arms Act,67318,323,58482,56904,1578,8513
2,Opium Act,21204,39,15386,14999,387,5779
3,Gambling Act,182431,5636,171662,170285,1377,5133
4,Excise Act,129611,637,108120,106022,2098,20854
5,Prohibition Act,738302,72533,351076,291592,59484,314693
6,Explosive & Explosive Substances Act,5132,155,2975,2186,789,2002
7,Suppression of Immoral Traffic Act,15331,37,15011,14525,486,283
8,Motor Vehicles Act,1156724,576,1146818,1144220,2598,9330
9,Prevention of Corruption Act,1081,16,725,655,70,339
10,Customs Act,117,17,92,39,53,8
11,Indian Railways Act,37464,230,36495,35398,1097,739
12,Other Offences,1048429,21963,997926,987668,10258,28541
13,Total of Local and Special Laws,3403144,102162,2904768,2824493,80275,396214
