SL. No.,Category,States/U.Ts/Cities,Total Value of Property Stolen (Rs. in Lakh),Total Value of Property Recovered (Rs. in Lakh),Percentage of Value of Property Recovered to Value of Property Stolen
1,State,Andhra Pradesh,609.86,262.76,43.1
2,State,Assam,200.67,18.97,9.5
3,State,Bihar,497.27,75.97,15.3
4,State,Gujarat,878.26,245.31,27.9
5,State,Haryana,345.6,248.74,72
6,State,Himachal Pradesh,76.43,37.47,49
7,State,Jammu and Kashmir,233.71,75,32.1
8,State,Karnataka,893.14,317.33,35.5
9,State,Kerala,462.35,95.2,20.6
10,State,Madhya Pradesh,1600.28,612.48,38.3
11,State,Maharashtra,6345.14,2563.93,40.4
12,State,Manipur,100.98,10.43,10.3
13,State,Meghalaya,1409.48,6.18,0.4
14,State,Nagaland,116.91,14.69,12.6
15,State,Orissa,295.07,118.71,40.2
16,State,Punjab,576.8,288.43,50
17,State,Rajasthan,691.88,448.77,64.9
18,State,Sikkim,10.52,1.73,16.4
19,State,Tamil Nadu,798.42,374.67,46.9
20,State,Tripura,24.8,3.41,13.8
21,State,Uttar Pradesh,5268.68,414.62,7.9
22,State,West Bengal,1097.51,164.09,15
Total (States),State,Total (States),22533.76,6398.89,28.4
23,UT,A & N Islands,5.51,1.27,23
24,UT,Arunachal Pradesh,10.1,3.26,32.3
25,UT,Chandigarh,47.97,31.05,64.7
26,UT,D & N Haveli,2.3,0.22,9.6
27,UT,Delhi,1076.78,349.61,32.5
28,UT,"Goa, Daman & Diu",84.03,23.87,28.4
29,UT,Lakshadweep,0.16,0.06,37.5
30,UT,Mizoram,51.79,6.5,12.6
31,UT,Pondicherry,12.19,3.67,30.1
Total (UTs),UT,Total (UTs),1290.83,419.51,32.5
All India,All India,All India,23824.59,6818.4,28.6
1,City,Ahmedabad,139.36,51.04,36.6
2,City,Bangalore,0.48,0.48,100
3,City,Bombay,3190.44,1531.52,48
4,City,Calcutta,335.38,98.31,29.3
5,City,Delhi,1067.63,377.48,35.4
6,City,Hyderabad,143.37,33.45,23.3
7,City,Jaipur,85.17,66.43,78
8,City,Kanpur,352.37,93.75,26.6
9,City,Lucknow,31.95,8.76,27.4
10,City,Madras,144.82,58.59,40.5
11,City,Nagpur,65.3,18.88,28.9
12,City,Pune,174.31,48.69,27.9
Total (Cities),City,Total (Cities),5730.58,2387.38,41.7
