SL. No.,Years,7-12 Years,7-12 Years - Percentage to Total,12-16 Years,12-16 Years - Percentage to Total,16-18 Years,16-18 Years - Percentage to Total,18-21 Years,18-21 Years - Percentage to Total,Overall Age Group
1,1974,8872,6.3,19644,14,22077,15.7,90046,64,140639
2,1975,14781,10.4,23118,16.3,20866,14.7,83134,58.6,141899
3,1976,19706,14.7,24073,18,19960,14.9,70234,52.4,133973
4,1977,15113,10.1,21391,14.4,24011,16.1,88407,59.4,148922
5,1978,11955,7.4,18954,11.8,25488,15.8,104522,65,160919
6,1979,10539,6.2,18315,10.8,26226,15.4,114963,67.6,170043
7,1980,10457,5.6,20048,10.7,36899,19.7,120181,64,187585
8,1981,9485,5,17649,9.3,33969,17.8,129464,67.9,190567
9,1982,8272,4.9,15218,9.1,25618,15.2,119229,70.8,168337
10,1983,8290,4.8,16949,9.9,26153,15.2,120222,70.1,171614
11,1984,5846,3.6,12472,7.7,25054,15.4,118888,73.3,162260
Percentage Change in 1984 Over 1974,Percentage Change in 1984 Over 1974,-34.1,NA,-36.5,NA,13.5,NA,32,NA,15.4
Percentage Change in 1984 Over 1983,Percentage Change in 1984 Over 1983,-29.5,NA,-26.4,NA,-4.2,NA,-1.1,NA,-5.5
