SL. No.,Heads of Crime,"Percentage of Cases not Investigated Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Murder,2.3,65.8,31.9,78.1
2,Culpable Homicide Not Amounting to Murder,3.4,66.5,30.1,72.4
3,Rape,7.6,66.3,26.1,85.6
4,Kidnapping & Abduction,19.1,52.4,28.6,66.4
5,Dacoity,6.4,55.3,38.3,60
6,Robbery,14.7,62.3,23,58
7,Burglary,5.3,77.4,17.3,39.8
8,Theft,6.4,74.3,19.3,40.8
9,Riots,12.5,62.6,24.9,81.5
10,Criminal Breach of Trust,12,46,42,66.6
11,Cheating,11.4,47.8,40.8,64.9
12,Counterfeiting,16.3,43.9,39.7,31.3
13,Other IPC Offences,7.5,77.9,14.6,85.6
14,Total Cognizable Crimes Under IPC,7.7,73.2,19,67.9
