SL. No.,Category,States/U.Ts/Cities,Number of Cases Reported,Below 16 Years,Between 16 to 30 Years,Above 30 Years
1,State,Andhra Pradesh,420,53,289,78
2,State,Assam,263,3,201,59
3,State,Bihar,603,98,335,170
4,State,Gujarat*,137,33,97,9
5,State,Haryana,115,25,60,30
6,State,Himachal Pradesh,25,6,14,5
7,State,Jammu and Kashmir*,142,4,110,30
8,State,Karnataka,133,52,71,10
9,State,Kerala,131,41,82,8
10,State,Madhya Pradesh,1339,209,890,240
11,State,Maharashtra,696,252,353,91
12,State,Manipur,14,NA,9,5
13,State,Meghalaya,15,3,11,1
14,State,Nagaland*,14,NA,14,NA
15,State,Orissa,174,19,127,28
16,State,Punjab,59,23,30,6
17,State,Rajasthan,379,42,261,76
18,State,Sikkim,7,NA,5,2
19,State,Tamil Nadu,222,57,148,17
20,State,Tripura,19,3,13,3
21,State,Uttar Pradesh,1106,220,754,132
22,State,West Bengal,562,90,425,47
Total (States),State,Total (States),6575,1233,4299,1047
23,UT,A & N Islands,3,1,2,NA
24,UT,Arunachal Pradesh,9,3,5,1
25,UT,Chandigarh,1,NA,NA,1
26,UT,D & N Haveli*,1,NA,1,NA
27,UT,Delhi,102,29,60,13
28,UT,"Goa, Daman & Diu",7,5,2,NA
29,UT,Lakshadweep,NA,NA,NA,NA
30,UT,Mizoram,34,6,26,2
31,UT,Pondicherry,8,2,3,3
Total (UTs),UT,Total (UTs),165,46,99,20
All India,All India,All India,6740,1279,4398,1067
1,City,Ahmedabad,7,4,3,NA
2,City,Bangalore,17,6,9,2
3,City,Bombay,81,38,39,4
4,City,Calcutta,22,17,4,1
5,City,Delhi,99,29,57,13
6,City,Hyderabad,29,9,17,3
7,City,Jaipur*,13,1,11,1
8,City,Kanpur,51,8,43,NA
9,City,Lucknow,29,1,28,NA
10,City,Madras,21,4,15,2
11,City,Nagpur,44,16,24,4
12,City,Pune,24,15,8,1
Total (Cities),City,Total (Cities),437,148,258,31
