SL. No.,Head of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial During the Year,Percentage of Cases in which Trials were Completed to Total Cases for Trial During the Year,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Ended in Conviction to Total Cases in which Trials were Completed
1,Arms Act,0.2,29.9,69.9,65.2
2,Opium Act,0.1,31.7,68.2,69.4
3,Gambling Act,0.5,58,41.5,79.6
4,Excise Act,0.3,37.4,62.3,66.2
5,Prohibition Act,12.1,33.8,54.1,47.5
6,Explosive & Explosive Substances Act,0.7,23.4,75.9,51.3
7,Suppression of Immoral Traffic Act,1.8,74.6,23.6,88.6
8,Motor Vehicles Act,0.5,83.7,15.8,86.7
9,Prevention of Corruption Act,0,52.8,47.2,84.2
10,Customs Act,0,27.8,72.2,68
11,Indian Railways Act,0.2,83.5,16.3,68.4
12,Other Offences,2.3,77.5,20.2,85.3
13,Total Cognizable Crimes Under Local & Special Laws,3,65.5,31.5,80.2
