SL. No.,Heads of Crime,Total Number of Cases for Trial During the Year Including Cases Carried over from Previous Year,Number of Cases Compounded or Withdrawn During the Year,Number of Cases in which Trials Were Completed During the Year,Number of Cases Ended in Conviction During the Year,Number of Cases Pending Trial at the End of the Year
1,Murder,59657,291,15478,7130,43888
2,Culpable Homicide Not Amounting to Murder,8494,83,2319,1028,6092
3,Rape,14893,95,3670,1466,11128
4,Kidnapping & Abduction,27238,599,5606,2037,21033
5,Dacoity,35051,116,6653,2556,28282
6,Robbery,44324,688,8441,3559,35195
7,Burglary,181104,5074,41174,21151,134856
8,Theft,437667,20593,102088,57197,314986
9,Riots,283481,15390,48123,17283,219968
10,Criminal Breach of Trust,49972,1136,8060,3743,40776
11,Cheating,39418,1409,6652,2824,31357
12,Counterfeiting,696,20,175,85,501
13,Other IPC Offences,1420598,89047,346818,174162,984733
14,Total Cognizable Crimes Under IPC,2602593,134541,595257,294221,1872795
