SL. No.,Crime Heads,Percentage of New Offenders Arrested to Total Arrested,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Once,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Twice,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Three time or more
1,Murder,93.6,5.5,0.7,0.2
2,Culpable Homicide Not Amounting to Murder,94.8,4.3,0.5,0.4
3,Rape,96.5,3.3,0.2,0
4,Kidnapping & Abduction,95.7,3.8,0.4,0.1
5,Dacoity,89.5,6.8,2.6,1.1
6,Robbery,88.9,7.6,2.3,1.2
7,Burglary,86.5,8.6,3.2,1.7
8,Theft,84.4,10.1,3.5,2
9,Riots,94.1,4.7,1,0.2
10,Criminal Breach of Trust,95.1,4.1,0.7,0.1
11,Cheating,93.8,5,0.8,0.4
12,Counterfeiting,99.5,0.5,0,0
13,Total Cognizable Crimes Under IPC,93.5,4.7,1.3,0.5
