SL. No.,Heads of Crime,Total Number of Cases for Investigation During the Year Including Cases Carried Over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Fact or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid 
1,Murder ,27177,877,18381,7919,14362
2,Culpable Homicide Not Amounting to Murder,4140,172,2763,1205,2089
3,Rape,5852,472,3636,1744,2968
4,Kidnapping & Abduction,17772,3944,9003,4825,5868
5,Dacoity,20042,1290,11653,7099,7641
6,Robbery,28722,4225,18038,6459,9454
7,Burglary,201423,10038,157247,34138,51370
8,Thefts,504148,31748,393253,79147,127752
9,Riots,127920,19551,75962,32407,61206
10,Criminal Breach of Trust,39137,5140,16835,17162,10489
11,Cheating ,29534,3096,14587,11851,8118
12,Counterfeiting,1073,103,573,397,111
13,Other IPC Offences,610940,57837,454444,98659,381606
14,Total (Cognizable Crimes Under IPC),1617880,138591,1176375,302914,683034
