SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trial were completed,Persons in custody or on bail at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to number of persons under trials,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Murder ,138591,760,36822,91007,14461,65.7,39.3
2,Culpable Homicide Not Amounting to Murder,16756,187,4561,11908,1923,71.1,42.2
3,Rape,14504,151,4129,10221,1457,70.5,35.3
4,Kidnapping & Abduction,47192,520,10216,36273,3613,76.9,35.4
5,Dacoity,150299,1126,29551,119622,11070,79.6,37.5
6,Robbery,74051,925,16304,56822,5911,76.7,42.4
7,Burglary,298106,10595,74014,217494,37842,73,51.1
8,Thefts,645328,29798,154181,461342,85837,71.5,55.7
9,Riots,1569119,93856,279655,1195608,78737,76.2,28.2
10,Criminal Breach of Trust,65666,2494,11759,51413,5923,78.3,50.4
11,Cheating ,44485,1646,8486,34462,3840,77.5,45.3
12,Counterfeiting,768,13,188,571,81,74.3,43.1
13,Total Cognizable Crime,4821917,288804,1067631,3465483,474170,71.9,44.4
