SL. No.,Category,State/U.Ts./Cities,1974,1975,1976,1977,1978,Quinquennial Average of 1974 to 1978 (Q.A.),1979,"Percentage Variation in 1979 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation in 1979 (+) Increase, (-) Decrease - Over - 1978",Volume of Crime in 1979 Per One Lakh of Population 
1,State,Andhra Pradesh ,55601,57105,61170,66852,68092,61764,76709,24.2,12.7,153.2
2,State,Assam,36238,36077,32896,36050,37140,35680,40334,13,8.6,212.6
3,State,Bihar,101100,99135,94782,96897,100121,98407,101146,2.8,1,152.7
4,State,Gujarat,55829,54872,55895,59915,61736,57649,62508,8.4,1.2,195.6
5,State,Haryana,10194,9596,9146,13039,15505,11496,16297,41.8,5.1,135.4
6,State,Himachal Pradesh,3783,3450,3780,4553,4581,4029,4801,19.2,4.8,117.4
7,State,Jammu & Kashmir,8693,10419,12319,14529,12443,11681,14118,20.9,13.5,246
8,State,Karnataka ,49023,49491,50640,69315,80136,59721,75883,27.1,-5.3,219.8
9,State,Kerala,43124,36022,31868,41262,48618,40179,43412,8,-10.7,172.1
10,State,Madhya Pradesh,127302,127211,122299,148125,164469,137881,160787,16.6,-2.2,313.9
11,State,Maharashtra,144432,141980,133440,145086,150626,143113,154372,7.9,2.5,261.1
12,State,Manipur,2820,3102,2984,3258,3363,3105,3242,4.4,-3.6,233.2
13,State,Meghalaya,1566,1619,1604,1705,1894,1678,2280,35.9,20.4,179.5
14,State,Nagaland,1088,910,824,844,957,925,834,-9.8,-12.9,122.6
15,State,Orissa,32207,34511,33400,35416,39589,35025,42595,21.6,7.6,162.6
16,State,Punjab,12878,12360,11775,13994,12831,12768,12128,-5,-5.5,77.7
17,State,Rajasthan,51102,50984,50842,62244,63752,55785,59877,7.3,-6.1,186.5
18,State,Sikkim ,NA,336,230,193,217,244,318,30.3,46.5,127.2
19,State,Tamil Nadu,79862,74909,69806,90396,107973,84589,104745,23.8,-3,226.1
20,State,Tripura,2373,2026,3010,3820,5355,3317,5766,73.8,7.7,286.9
21,State,Uttar Pradesh,244284,230901,195633,222621,217277,222143,206230,-7.2,-5.1,200.9
22,State,West Bengal ,86600,86514,84879,91450,93596,88608,92367,4.2,-1.3,171
Total (States),State,Total (States),1150099,1123530,1063222,1221564,1290271,1169787,1280749,9.5,-0.7,199.6
23,UT,A & N Islands,538,541,517,592,701,578,703,21.6,0.3,390.6
24,UT,Arunachal Pradesh,188,318,399,476,443,365,615,68.5,38.8,100.8
25,UT,Chandigarh,1411,1202,1312,2495,2609,1806,2430,34.6,-6.9,528.3
26,UT,D & N Haveli,131,153,146,109,220,152,191,25.7,-3.2,212.2
27,UT,Delhi,33824,28571,23105,35856,43407,32953,44078,33.8,1.5,762.6
28,UT,"Goa, Daman & Diu",2112,2444,2150,1890,2181,2155,2209,2.5,1.3,199
29,UT,Lakshadweep,10,27,14,15,20,17,6,-64.7,-70,15
30,UT,Mizoram,501,362,647,737,771,604,1277,111.4,65.6,297
31,UT,Pondicherry,3463,3372,2385,3270,4345,3367,3910,16.1,-10,686
Total (UTs),UT,Total (UTs),42178,36990,30675,45440,54697,41997,55419,32,1.2,599.1
Total (All-India),Total (All-India),Total (All-India),1192277,1160520,1093897,1267004,1344968,1211784,1336168,10.3,-0.3,205.2
1,City,Ahmedabad ,6588,5625,6231,7323,8035,6760,8017,18.6,-0.2,385.4
2,City,Bangalore ,10688,10182,11002,20751,26063,15737,22439,42.6,-13.9,1127.6
3,City,Bombay,33992,33374,31376,36866,36160,34354,36448,6.1,0.8,448.3
4,City,Calcutta,11874,11829,12321,12577,133039,12328,13104,6.3,0.5,391.2
5,City,Delhi,32307,27196,21464,33865,41061,31179,41552,33.3,1.2,785.5
6,City,Hyderabad,4999,5052,5174,5955,7772,5785,8478,46.6,9.1,387.1
7,City,Kanpur,9003,8669,8399,7752,11395,9044,10546,16.6,-7.5,727.3
8,City,Madras,17257,17630,14940,18247,19089,17433,17288,0.8,-9.4,517.6
Total (Cities),City,Total (Cities),126708,119530,110907,143336,162614,132620,157872,19,-2.9,567.5
