SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial During the Year,Percentage of Cases in which Trials were Completed to Total Cases Under Trial During the Year,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Conviction to Cases in which Trials were Completed
1,Arms Act,0.1,32,67.9,73.3
2,Opium Act,0.2,42.6,57.2,74.6
3,Gambling Act ,0.3,66.1,33.6,90
4,Excise Act,0.2,40.1,59.7,77.5
5,Prohibition Act,7.2,43.4,49.4,54.6
6,Explosives & Explosive Substances Act,1,26.7,72.3,64.8
7,Suppression of Immoral Traffic Act,0.4,68.8,30.8,90.4
8,Motor Vehicles Act,0.5,73.3,26.2,94.5
9,Prevention of Corruption Act,0.3,48.4,51.3,55.6
10,Customs Act,0.9,57,42.1,99.2
11,Indian Railways Act,0.1,85.5,14.4,98.3
12,Other Offences,0.7,84.2,15.1,95.2
13,Total,1.8,65.8,32.4,87.9
