SL. No.,Crime Heads,Total number of persons in custody during the stage of investigation,Number of Persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody during the stage of investigation
1,Arms Act,68994,6005,62090,8.7,90
2,Opium Act,16555,3801,12608,23,76.2
3,Gambling Act ,413249,18880,393226,4.6,95.2
4,Excise Act,151101,21220,127539,14,84.4
5,Prohibition Act,997478,548707,439750,55,44.1
6,Explosives & Explosive Substances Act,2637,771,1537,29.2,58.3
7,Suppression of Immoral Traffic in Women & Girls Act,15622,706,14756,4.5,94.5
8,Motor Vehicles Act,795621,13098,780449,1.6,98.1
9,Prevention of Corruption Act,576,300,219,52.1,38
10,Customs Act,54,11,41,20.4,75.9
11,Indian Railways Act,32632,1484,30972,4.5,94.9
12,Other Offences Under Local & Special Laws,1106983,23270,1070507,2.1,96.7
13,Total,3601502,638253,2933694,17.7,81.5
