SL. No. ,Heads of Crime,Total Number of Cases for Investigation During the Year Including Cases Carried over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid
1,Arms Act,68763,271,61800,6692,60668
2,Opium Act,17076,35,13106,3935,12827
3,Gambling Act ,227553,44,218533,8976,218255
4,Excise Act,147081,663,123852,22566,121919
5,Prohibition Act,951568,21912,467014,462642,395873
6,Explosives Act & Explosive Substances Act,2746,108,1466,1172,1121
7,Suppression of Immoral Traffic Act,14727,17,14246,464,14218
8,Motor Vehicles Act,802854,1206,783408,18240,780923
9,Prevention of Corruption Act,907,40,493,374,434
10,Customs Act,147,NA,139,8,139
11,Indian Railways Act,29520,115,28683,722,27575
12,Other Offences,1003584,16285,964981,22318,958056
13,Total,3266526,40696,2677721,548109,2592008
