SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation carried over from the previous year including persons under arrest during the year ,Total number of persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation
1,Murder ,55382,10511,42637,19,77
2,Culpable Homicide Not Amounting to Murder,6890,1323,5215,19.2,75.7
3,Rape,6676,1641,4536,24.6,67.9
4,Kidnapping & Abduction,19583,4095,13060,20.9,66.7
5,Dacoity,65675,16207,37004,24.7,56.3
6,Robbery,29060,4586,20399,15.8,70.2
7,Burglary,110676,12168,86655,11,78.3
8,Thefts,258721,26636,200068,10.3,77.3
9,Riots,631374,99332,451261,15.7,71.5
10,Criminal Breach of Trust,28280,8170,17376,28.9,61.4
11,Cheating ,19045,5441,11534,28.6,60.6
12,Counterfeiting,521,262,170,50.3,32.6
13,Total Cognizable Crime,2063792,278057,1588011,13.5,76.9
