SL. No.,Category,States/U.Ts./Cities,Boys,Girls,Total
1,State,Andhra Pradesh ,2117,220,2337
2,State,Assam,207,14,221
3,State,Bihar,432,NA,432
4,State,Gujarat,20188,1076,21264
5,State,Haryana,1340,NA,1340
6,State,Himachal Pradesh,164,44,208
7,State,Jammu and Kashmir,142,3,145
8,State,Karnataka ,712,338,1050
9,State,Kerala,6,NA,6
10,State,Madhya Pradesh,7611,42,7653
11,State,Maharashtra,31265,2003,33268
12,State,Manipur,102,57,159
13,State,Meghalaya,3,2,5
14,State,Nagaland,16,NA,16
15,State,Orissa,29,NA,29
16,State,Punjab,822,NA,822
17,State,Rajasthan,594,1,595
18,State,Sikkim ,15,NA,15
19,State,Tamil Nadu,23051,2687,25738
20,State,Tripura,77,NA,77
21,State,Uttar Pradesh,167,3,170
22,State,West Bengal ,475,45,520
Total (States),State,Total (States),89535,6535,96070
23,UT,A & N Islands,246,22,268
24,UT,Arunachal Pradesh,5,NA,5
25,UT,Chandigarh,108,1,109
26,UT,D & N Haveli,NA,NA,NA
27,UT,Delhi,1582,89,1671
28,UT,"Goa, Daman & Diu",234,13,247
29,UT,Lakshadweep,NA,NA,NA
30,UT,Mizoram,NA,NA,NA
31,UT,Pondicherry,1103,11,1114
Total (UTs),UT,Total (UTs),3278,136,3414
Total (All-India),Total (All-India),Total (All-India),92813,6671,99484
1,City,Ahmedabad ,8086,580,8666
2,City,Bangalore ,337,116,453
3,City,Bombay,1152,636,1788
4,City,Calcutta,279,23,302
5,City,Delhi,1582,89,1671
6,City,Hyderabad,972,40,1012
7,City,Kanpur,NA,NA,NA
8,City,Madras,7974,1001,8975
Total (Cities),City,Total (Cities),20382,2485,22867
