SL. No.,Category,States/U.Ts/Cities,Number of Cases Reported,Below 16 Years,Between 16 to 30 Years,Above 30 Years
1,State,Andhra Pradesh ,173,41,100,32
2,State,Assam,244,NA,181,63
3,State,Bihar,418,46,231,141
4,State,Gujarat,64,8,46,10
5,State,Haryana,78,10,52,16
6,State,Himachal Pradesh,31*,11,15,7
7,State,Jammu and Kashmir,116,18,78,20
8,State,Karnataka ,87,25,49,13
9,State,Kerala,53,13,35,5
10,State,Madhya Pradesh,790,178,488,124
11,State,Maharashtra,371,42,281,48
12,State,Manipur,10,NA,6,4
13,State,Meghalaya,12,1,11,NA
14,State,Nagaland,4,1,3,NA
15,State,Orissa,115,20,74,21
16,State,Punjab,83,17,48,18
17,State,Rajasthan,202,17,124,61
18,State,Sikkim ,6,NA,5,1
19,State,Tamil Nadu,98,21,74,3
20,State,Tripura,4,NA,4,NA
21,State,Uttar Pradesh,708,154,491,63
22,State,West Bengal ,500,88,364,48
Total (States),State,Total (States),4167,711,2760,698
23,UT,A & N Islands,2,2,NA,NA
24,UT,Arunachal Pradesh,6,3,3,NA
25,UT,Chandigarh,1,1,NA,NA
26,UT,D & N Haveli,3,NA,3,NA
27,UT,Delhi,84,10,50,24
28,UT,"Goa, Daman & Diu",3,2,NA,1
29,UT,Lakshadweep,NA,NA,NA,NA
30,UT,Mizoram,29,20,6,3
31,UT,Pondicherry,5,2,3,NA
Total (UTs),UT,Total (UTs),133,40,65,28
All-India,All-India,All-India,4300,751,2825,726
1,City,Ahmedabad ,5,1,4,NA
2,City,Bangalore ,16,11,5,NA
3,City,Bombay,58,4,53,1
4,City,Calcutta,23,10,13,NA
5,City,Delhi,78,10,47,21
6,City,Hyderabad,14,3,9,2
7,City,Kanpur,23,6,15,2
8,City,Madras,9,NA,9,NA
Total (Cities),City,Total (Cities),226,45,155,26
