SL. No.,Heads of Crime,"Percentage of Cases not Investigated, Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Murder ,3.2,67.6,29.2,78.1
2,Culpable Homicide Not Amounting to Murder,4.2,66.7,29.1,75.6
3,Rape,8.1,62.1,29.8,81.6
4,Kidnapping & Abduction,22.2,50.7,27.1,65.2
5,Dacoity,6.4,58.2,35.4,65.6
6,Robbery,14.7,62.8,22.5,52.4
7,Burglary,5,78.1,16.9,32.7
8,Thefts,6.3,78,15.7,32.5
9,Riots,15.3,59.4,25.3,80.6
10,Criminal Breach of Trust,13.1,43,43.9,62.3
11,Cheating ,10.5,49.4,40.1,55.7
12,Counterfeiting,9.6,53.4,37,19.4
13,Other IPC Offences,9.5,74.4,16.1,84
14,Total Cognizable Crimes Under IPC,8.6,72.7,18.7,58.1
