SL. No.,Heads of Crime,Incidence - 1969,Volume - 1969,Incidence - 1974,Volume - 1974,Incidence - 1975,Volume - 1975,Incidence - 1976,Volume - 1976,Incidence - 1977,Volume - 1977,Incidence - 1978,Volume - 1978,Quinquennial Average 1974 -1978 (Q.A.),Incidence - 1979,Volume - 1979,"Percentage Change in 1979 (+) Increase, (-) Decrease - Over - 1969","Percentage Change in 1979 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Change in 1979 (+) Increase, (-) Decrease - Over - 1978"
1,Total Cognizable Crime,845167,161.8,1192277,202.7,1160520,193.2,1093897,178.4,1267004,202.5,1344968,210.7,1211733,1336168,205.2,58.1,10.3,-0.7
2,Murder ,14732,2.8,18649,3.2,17563,2.9,16673,2.7,18376,2.9,19314,3,18115,20349,3.1,38.1,12.3,5.4
3,Kidnapping & Abduction,8464,1.6,10543,1.8,11139,1.9,11250,1.8,12240,2,13616,2.1,11758,13125,2,55.1,11.6,-3.6
4,Dacoity,6049,1.2,13697,2.3,12506,2.1,10910,1.8,12599,2,13195,2.1,12581,14028,2.2,131.9,11.5,6.3
5,Robbery,9922,1.9,22286,3.8,21656,3.6,17974,2.9,22725,3.6,22923,3.6,21513,22860,3.5,130.4,6.3,-0.3
6,Burglary,145429,27.8,199878,34,192854,32.1,168655,27.5,193622,30.9,183991,28.8,187800,168574,25.9,15.9,-10.2,-8.4
7,Thefts,300140,57.4,436918,74.3,421891,70.2,365138,59.5,432046,69,437187,68.5,418636,430483,66.1,43.4,2.8,-1.5
8,Riots,55796,10.7,80547,13.7,67241,11.2,63675,10.4,80449,12.9,96488,15.1,77680,98896,15.2,77.2,27.3,2.5
9,Criminal Breach of Trust,21118,4,22274,3.8,23287,3.9,23656,3.9,22868,3.7,23255,3.6,23068,22016,3.4,4.3,-4.6,-5.3
10,Cheating ,12001,2.3,15380,2.6,17772,3,19588,3.2,19623,3.1,19821,3.1,18437,18370,2.8,53.1,-0.4,-7.3
11,Counterfeiting,739,0.1,718,0.1,951,0.2,887,0.1,784,0.1,636,0.1,795,525,0.1,-29,-34,-17.5
12,Other IPC Offences,270777,51.8,371387,63.1,373660,62.2,395491,64.5,451672,72.2,514542,80.6,421350,526942,80.9,94.6,25.1,2.4
