SL. No.,Crime Heads,Percentage of New Offenders Arrested to Total Arrested,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Once,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Twice,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Three times or more
1,Murder ,93.3,5.7,0.9,0.1
2,Culpable Homicide Not Amounting to Murder,90.4,7,1.9,0.7
3,Rape,96.2,3.2,0.5,0.1
4,Kidnapping & Abduction,93.1,4.7,2.1,0.1
5,Dacoity,80.5,12.7,5.4,1.4
6,Robbery,86.3,10,2.9,0.8
7,Burglary,83.5,10.9,3.5,2.1
8,Thefts,84.2,10.8,3.2,1.8
9,Riots,96.1,3.4,0.3,0.2
10,Criminal Breach of Trust,95.8,3.6,0.4,0.2
11,Cheating ,93.3,4.7,1.3,0.7
12,Counterfeiting,94.5,5.1,0.4,NA
13,Total,91.9,5.9,1.5,0.7
