SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Thefts - Incidence (I),Thefts - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Others -  Incidence (I),Others - Volume (V),Total Cognizable Crimes - Incidence (I),Total Cognizable Crimes - Volume (V)
1,State,Andhra Pradesh ,1281,2.6,23,*,173,0.3,284,0.6,305,0.6,380,0.8,7724,15.4,20120,40.2,5426,10.8,677,1.4,666,1.3,47,0.1,39603,79.1,76709,153.2
2,State,Assam,514,2.7,35,0.2,244,1.3,594,3.1,319,1.7,532,2.8,5554,29.3,9872,52,5300,27.9,489,2.6,483,2.5,5,*,16393,86.4,40334,212.6
3,State,Bihar,2146,3.2,281,0.4,418,0.6,1122,1.7,2746,4.1,1574,2.4,14273,21.6,29176,44.1,16354,24.7,1500,2.3,1330,2,16,*,30210,45.6,101146,152.7
4,State,Gujarat,885,2.8,4,*,64,0.2,505,1.6,134,0.4,796,2.5,6057,19,19618,61.4,1397,4.4,1460,4.6,829,2.6,14,*,30745,96.2,62508,195.6
5,State,Haryana,318,2.6,105,0.9,78,0.6,208,1.7,24,0.2,70,0.6,2641,21.9,4255,35.3,230,1.9,493,4.1,266,2.2,1,*,7608,63.2,16297,135.4
6,State,Himachal Pradesh,51,1.2,14,0.3,31,0.8,110,2.7,2,*,40,1,645,15.7,784,19.1,224,5.5,140,3.4,81,2,NA,NA,2679,65.3,4801,117.1
7,State,Jammu & Kashmir,96,1.7,13,0.2,116,2,438,7.6,63,1.1,31,0.5,1496,26.1,2536,44.2,1677,29.2,113,2,133,2.3,3,0.1,7403,129,14118,246
8,State,Karnataka ,884,2.6,9,*,87,0.3,272,0.8,212,0.6,677,2,9723,28.2,22042,63.8,5427,15.7,1000,2.9,1334,3.9,52,0.2,34164,98.9,75883,219.8
9,State,Kerala,447,1.8,5,*,53,0.2,115,0.5,46,0.2,144,0.6,3812,15.1,3683,14.6,5353,21.2,324,1.3,424,1.7,109,0.4,28897,114.5,43412,172.1
10,State,Madhya Pradesh,2348,4.6,50,0.1,790,1.5,970,1.9,563,1.1,2681,5.2,26236,51.2,51408,100.3,5556,10.8,1308,2.6,1400,2.7,37,0.1,67440,131.6,160787,313.9
