SL. No.,Category,States/U.Ts/Cities,Year - 1978,Year - 1979,Percentage Variations in 1978 Over 1979
1,State,Andhra Pradesh ,106943,125786,17.6
2,State,Assam,46357,45890,-1
3,State,Bihar,184167,161571,-12.3
4,State,Gujarat,83550,82760,-0.9
5,State,Haryana,20556,24117,17.3
6,State,Himachal Pradesh,6666,6831,2.5
7,State,Jammu & Kashmir,20136,21429,6.4
8,State,Karnataka ,103716,116492,12.3
9,State,Kerala,80155,69874,-12.8
10,State,Madhya Pradesh,209940,194232,-7.5
11,State,Maharashtra,191063,194456,1.8
12,State,Manipur,3606,2687,-25.5
13,State,Meghalaya,2723,4453,63.5
14,State,Nagaland,1026,726,-29.2
15,State,Orissa,58140,63068,8.5
16,State,Punjab,19249,20402,6
17,State,Rajasthan,98244,98413,0.2
18,State,Sikkim ,235,202,-14
19,State,Tamil Nadu,137858,142028,3
20,State,Tripura,7168,9142,27.5
21,State,Uttar Pradesh,257414,249934,-2.9
22,State,West Bengal ,140382,145888,3.9
Total (States),State,Total (States),1779294,1780381,0.1
23,UT,A & N Islands,589,731,24.1
24,UT,Arunachal Pradesh,415,400,-3.6
25,UT,Chandigarh,3462,7409,114
26,UT,D & N Haveli,289,241,-16.6
27,UT,Delhi,34238,25396,-25.8
28,UT,"Goa, Daman & Diu",3387,2853,-15.8
29,UT,Lakshadweep,17,9,-47.1
30,UT,Mizoram,850,1290,51.8
31,UT,Pondicherry,3399,3867,13.8
Total (UTs),UT,Total (UTs),46646,42196,-9.5
Total (All-India),Total (All-India),Total (All-India),1825940,1822577,-0.2
1,City,Ahmedabad ,9848,9206,-6.5
2,City,Bangalore ,10778,11902,10.4
3,City,Bombay,30470,29706,-2.5
4,City,Calcutta,19519,20324,4.1
5,City,Delhi,31739,23426,-26.2
6,City,Hyderabad,5734,4946,-13.7
7,City,Kanpur,9297,10175,9.4
8,City,Madras,10003,8530,-14.7
Total (Cities),City,Total (Cities),127388,118215,-7.2
