SL. No.,Heads of Crime ,Number of Cases Reported During - 1974,Number of Cases Reported During - 1975,Number of Cases Reported During - 1976,Number of Cases Reported During - 1977,Number of Cases Reported During - 1978,Quinquennial average 1974 to 1978,Cases reported during the year 1979,Change in 1979 Over - Quinquennial Average,Change in 1979 Over - 1978
1,Total  IPC Cognizable Crime,40666,39888,37015,44008,44284,41172,46351,12.6,4.7
2,Murder ,804,663,586,864,718,727,812,11.7,13.1
3,Kidnapping & Abduction,426,352,376,329,597,416,493,18.5,-17.4
4,Dacoity,288,291,222,285,288,275,359,30.5,24.7
5,Robbery,521,499,514,630,741,581,743,27.9,0.3
6,Burglary,7238,6940,5720,6549,6218,6533,6275,-4,0.9
7,Thefts,16153,16299,14444,16069,14148,15423,15376,-0.3,8.7
8,Riots,3729,3285,2871,4903,5049,3967,6195,56.2,22.7
9,Criminal Breach of Trust,272,236,195,265,244,242,224,-7.4,-8.2
10,Cheating ,252,304,260,219,292,265,259,-2.3,-11.3
11,Counterfeiting,1,NA,3,NA,3,1,2,100,-33.3
12,Miscellaneous,10982,11019,11824,13895,15986,12741,15613,22.5,-2.3
