SL. No.,Heads of Crime,Percentage of Cases not Investigated or Mistake of Fact or Law or Non Cognizable to Total Cases for Investigation,Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Arms Act,0.4,89.9,9.7,98.2
2,Opium Act,0.2,76.8,23,97.9
3,Gambling Act ,0.1,76,3.9,99.9
4,Excise Act,0.5,84.2,15.3,98.4
5,Prohibition Act,2.3,49.1,48.6,84.8
6,Explosives & Explosive Substances Act,3.9,53.4,42.7,76.5
7,Suppression of Immoral Traffic Act,0.1,96.7,3.2,99.8
8,Motor Vehicles Act,0.1,97.6,2.3,99.7
9,Prevention of Corruption Act,4.4,54.4,41.2,88
10,Customs Act,NA,94.6,5.4,100
11,Indian Railways Act,0.4,97.2,2.4,96.1
12,Other Offences,1.6,96.2,2.2,99.3
13,Total,1.2,82,16.8,96.8
