SL. No.,Heads of Crime,Total Number of Cases for Trial During the Year Including Cases Carried over from Previous Year,Number of Cases Compounded or Withdrawn During the Year,Number of Cases in which Trials Were Completed During the Year,Number of Cases Ended in Conviction During the Year,Number of Cases Pending Trial at the End of the Year
1,Murder ,41407,229,12105,5672,29073
2,Culpable Homicide Not Amounting to Murder,6776,61,1748,761,4967
3,Rape,9063,88,2608,883,6367
4,Kidnapping & Abduction,20833,232,4818,1603,15783
5,Dacoity,31543,96,5958,2321,25489
6,Robbery,35095,357,7510,3200,27228
7,Burglary,169161,4609,44968,25945,119584
8,Thefts,376267,16044,102691,65159,257532
9,Riots,216189,11060,36944,10834,168185
10,Criminal Breach of Trust,44415,1091,7905,4053,35419
11,Cheating ,30691,1080,5955,2886,23656
12,Counterfeiting,475,14,121,48,340
13,Other IPC Offences,935088,75325,244043,135744,615730
14,Total Cognizable Crimes Under IPC,1917003,110286,477374,259109,1329323
