SI.No,Crime Head,1999,2000,Percentage Variation in 2000 Over 1999,Percentage Share of Arrestees Under Each Crime During 2000
1,Murder,77334,78178,1.1,2.9
2,Attempt to Commit Murder,73070,74913,2.5,2.8
3,C.H. Not Amounting To Murder,7204,6863,-4.7,0.3
4,Rape,20313,20300,-0.1,0.8
5,Kidnapping & Abduction,30383,29322,-3.5,1.1
5,I)Of Women & Girls,18959,17145,-9.6,0.6
5,II)Of Others,11424,12177,6.6,0.5
6,Dacoity,23321,22876,-1.9,0.9
7,Preparation & Assembly for Dacoity,7261,6844,-5.7,0.3
8,Robbery,29715,28966,-2.5,1.1
9,Burglary,70189,67965,-3.2,2.5
10,Theft,170360,166867,-2.1,6.2
10,I) Auto Theft,27249,24973,-8.4,0.9
10,II) Other Theft,143047,141894,-0.8,5.3
11,Riots,397066,430593,8.4,16.1
12,Criminal Breach of Trust,15267,14548,-4.7,0.5
13,Cheating,36946,38990,5.5,1.5
14,Counterfeiting,1572,2136,35.9,0.1
15,Arson,13619,14678,7.8,0.5
16,Hurt,445827,455332,2.1,17
17,Dowry Deaths,17305,18455,6.6,0.7
18,Molestation,40815,41734,2.3,1.6
19,Sexual Harassment,10480,13662,30.4,0.5
20,Cruelty by Husband and Relatives,101630,105547,3.9,3.9
21,Importation of Girls,3,156,5100,0
22,Other IPC Crimes,1011196,1036998,2.6,38.8
23,Total Cognizable Crimes Under IPC,2600876,2675923,2.9,100
