SI.No.,State/UT,Number of Death Reported,Number of Autopsy Conducted,Number of Magisterial enquiry ordered Conducted,Number of Judicial Enquiry ordered Counducted,Number of Cases Regd. In Connection with Deaths,Number of Policemen Chargesheeted,Number of Policemen Convicted
1,Andhra Pradesh,4,4,1,0,2,0,0
2,Arunachal Pradesh,1,0,1,0,1,0,0
3,Assam,0,0,0,0,0,0,0
4,Bihar,0,0,0,0,0,0,0
5,Goa,1,1,0,0,0,0,0
6,Gujarat,9,7,1,0,0,3,0
7,Haryana,2,0,0,0,1,0,0
8,Himachal Pradesh,0,0,0,0,0,0,0
9,Jammu & Kashmir,0,0,0,0,1,0,0
10,Karnataka,0,0,0,0,0,0,0
11,Kerala,0,0,0,0,0,0,0
12,Madhya Pradesh,3,3,3,0,0,0,0
13,Maharashtra,14,14,11,0,2,5,0
14,Manipur,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0
16,Mizoram,0,0,0,0,0,0,0
17,Nagaland,0,0,0,0,0,0,0
18,Orissa,0,0,0,0,0,0,0
19,Punjab,3,0,4,0,2,6,0
20,Rajasthan,0,0,0,0,0,0,0
21,Sikkim,NA,NA,NA,NA,NA,NA,NA
22,Tamil Nadu,0,0,0,0,0,0,0
23,Tripura,3,0,0,0,0,0,0
24,Uttar Pradesh,0,0,0,0,0,0,0
25,West Bengal,0,0,0,0,0,0,0
Total States,Total States,40,29,21,0,9,14,0
26,A & N Islands,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0
30,Delhi,0,0,0,0,0,0,0
31,Lakshadweep,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0
Total (UTs),Total (UTs),0,0,0,0,0,0,0
Total (All -India),Total (All -India),40,29,21,0,9,14,0
