Sl No,Crime Head,Cases Withdrawn by Govt.,Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn,Percentage of Cases to Total Cases for Trial - In which trials were completed - convicted,Percentage of Cases to Total Cases for Trial - In which trials were Completed - Acquitted or Discharged,Percentage of Cases to Total Cases for Trial - In which Trials were Completed - Total [(5) +(6)],Percentage of Cases to Total Cases for Trial - Pending Trial,Conviction Rate {(5)/(7)*100}
1,Arms Act,0,0.5,9.4,6.2,15.7,83.9,60.1
2,Narcotic Drugs & Psychotropic Substances Act,0.2,0.4,7.8,7.7,15.5,84.2,50.3
3,Gambling Act,0,0.7,30.8,5.8,36.6,62.7,84.3
4,Excise Act,2.1,0.3,12.6,8.4,21,78.7,59.8
5,Prohibition Act,0,2.3,11.8,7.4,19.2,78.5,61.6
6,Explosive & Explosive Substances Act,0,0.3,7.3,5.9,13.2,86.5,55.1
7,Immoral Traffic (P) Act,0,0.2,56.9,10.2,67.1,32.7,84.8
8,Indian Railways Act,0,0.2,53.8,9.5,63.3,36.5,84.9
9,Registration of Foreigners Act,0,0,23.2,2.2,25.4,74.5,91.3
10,Protection Of Civil Rights Act,0.3,1.3,4.6,13.8,18.4,80.3,25.2
11,Indian Passport Act,0,0,16.2,4.7,20.9,79.1,77.5
12,Essential Commodities Act,0,0.9,2.9,10.5,13.4,85.7,21.6
13,Terrorist & Disruptive Activities Act,0,0.2,1.5,7.4,8.9,90.9,16.9
14,Antiquity & Art Treasure Act,0,1,8,12,20,79,40
15,Dowry Prohibition Act,0,1.5,4,12.2,16.2,82.3,24.6
16,Child Marriage Restraint Act,0,0,6.8,8.6,15.4,84.6,43.9
17,Indecent Representation of Women (P)Act,0,0.1,31.5,8.6,40.2,59.7,78.5
18,Copy Rights Act,0.1,0.8,5.5,7,12.4,86.8,43.9
19,Sati Prevention Act,0,0,0,0,0,0,0
20,SC/ST (Prevention of Atrocities ) Act,0,0.9,4.7,9.8,14.5,84.6,32.3
21,Forest Act,0,0.2,16.8,6.9,23.7,76.1,71.1
22,Other SLL Crimes,0,15.1,47.6,6.5,54.1,30.8,87.9
23,Total cognizable Crimes Under SLL,0.1,8.2,30.5,7,37.5,54.3,81.4
