SI.No.,State/UT/City,No. of Complaints Received /Alleged During the Year,Complaints Received /Cases Registered No. of Inquiry instituted- Departmental,Complaints Received /Cases Registered No. of Inquiry instituted- Magisterial,Complaints Received /Cases Registered No. of Inquiry instituted- Judicial,Complaints received /Cases registered- Complaints/Cases declared Failse/Unsubstantiated,Complaints received /Cases Registerede - No. of Cases registered during the Year,Complaints received /Cases registered - No. of Cases reported for regular Deptt. Action,Complaints received /Cases registered - No. of Cases sent up Trials/ Chargesheeted,Police Personnel Involved/Action taken - No. of Police Personnel sent up for Trial during the year,Police Personnel Involved/Action taken - No. of Police Personnel in whose Cases Withdrawn or otherwise disposed of,Police Personnel Involved/Action taken - No. of Police Personnel in whose cases Trial was Completed,Police Personnel Involved/Action Taken - No. of Police Personnel Convicted,Police Personnel Involved/Action Taken - No. of Police Personnel Acquitted,Departmental Action/Punishment- No. of Police Personnel- Against whom Displinary Action Initiated,Departmental Action/Punishment- No. of Police Personnel- in whose cases Withdrawn or otherwise Disposed of,Departmental Action/Punishment - No. of Police Personnel -in whose Cases Trial was Completed,Departmental Action/Punishment - No. of Police Personnel- Dismissed / Removed from Service,Departmental Action/Punishment - No. of Police Personnel against- Major Punishment awarded,Departmental Action/Punishment - No. of Police Personnel -Minor Punishment awarded
1,Andhra Pradesh,1275,1087,0,25,59,444,231,127,140,10,9,2,7,1813,670,11,33,220,1512
2,Arunachal Pradesh,51,28,0,0,1,30,27,19,19,1,1,0,1,74,9,3,1,6,12
3,Assam,22,19,1,3,3,11,3,6,10,1,11,0,11,60,16,13,1,9,55
4,Bihar,118,8,0,62,3,55,2,19,141,14,1,1,0,1503,242,375,7,446,390
5,Goa,45,43,0,2,0,2,0,2,2,0,3,0,3,70,40,27,0,4,23
6,Gujarat,1926,1100,76,69,1219,388,426,325,390,27,30,5,25,1454,98,478,72,238,12177
7,Haryana,1307,285,0,2,1214,1,0,1,1,0,0,0,0,15,0,0,1,5,7
8,Himachal Pradesh,244,67,1,0,197,11,1,7,6,3,0,0,0,141,3,20,2,49,113
9,Jammu & Kashmir,256,343,0,0,62,11,1,9,5,7,0,0,0,1192,509,375,53,333,963
10,Karnataka,2356,289,3,12,24,81,279,43,58,5,2,0,2,1232,148,220,22,39,930
11,Kerala,1959,1704,1,9,996,120,70,50,50,8,4,1,3,748,88,186,9,52,323
12,Madhya Pradesh,21450,1295,2,0,20153,36,0,36,36,1,3,0,3,2032,109,1923,78,808,1037
13,Maharashtra,9347,1934,48,138,3571,528,278,248,288,23,42,10,32,789,90,207,90,590,9075
14,Manipur,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,0,38,8
16,Mizoram,3,2,1,0,0,3,0,3,3,0,2,1,1,60,1,55,6,37,12
17,Nagaland,5,2,1,1,1,5,0,4,4,1,2,0,2,22,3,11,0,10,0
