SI.No.,States/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C. H. Not Amounting to Murder - Male,C. H. Not Amouniting to Murder - Female,C. H. Amouniting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abuduction Total - Male,Kidnapping & Abuduction Total - Female,Kidnapping & Abuduction Total - Total,Kidnapping & Abuduction of Women & Girls - Male,Kidnapping & Abuduction of Women & Girls - Female,Kidnapping & Abuduction of Women & Girls - Total,Kidnapping & Abuduction of Others - Male,Kidnapping & Abuduction of Others - Female,Kidnapping & Abuduction of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly For Dacoity - Male,Preparation & Assembly For Dacoity - Female,Preparation & Assembly For Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft Total - Male,Theft Total - Female,Theft Total - Total,Theft Auto Theft - Male,Theft Auto Theft - Female,Theft Auto Theft - Total,Theft Other Thfet - Male,Theft Other Thfet - Female,Theft Other Thfet - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Arson - Male,Arson - Female,Arson - Total,Hurt - Male,Hurt - Female,Hurt - Total,Dowary Death - Male,Dowary Death - Female,Dowary Death - Total,Molestation - Male,Molestation - Female,Molestation - Total,Sexual Harassment - Male,Sexual Harassment - Female,Sexual Harassment - Total,Cruelty By Husband And Relatives - Male,Cruelty By Husband And Relatives - Female,Cruelty By Husband And Relatives Total,Importantion of Girls - Male,Importantion of Girls - Female,Importantion of Girls - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total,Percentage of Female to - Total
11,Kerala,952,57,1009,2169,28,2197,108,3,111,597,6,603,211,3,214,102,3,105,109,0,109,578,1,579,10,0,10,587,2,589,2021,14,2035,2694,92,2786,566,0,566,2128,92,2220,39579,989,40568,327,24,351,2223,100,2323,232,1,233,472,0,472,26969,1070,28039,36,14,50,2216,10,2226,94,0,94,3320,805,4125,0,0,0,55623,1653,57276,141018,4872,145890,3.3
12,Madhya Pradesh,9020,401,9421,9160,600,9760,245,14,259,3801,35,3836,1447,488,1935,915,484,1399,532,4,536,844,3,847,823,0,823,2288,129,2417,9126,524,9650,13834,379,14213,1916,100,2016,11918,279,12197,25318,150,25468,771,3,774,2193,19,2212,48,1,49,1844,20,1864,65049,200,65249,1682,284,1966,10410,27,10437,1075,4,1079,8365,68,8433,9,0,9,161111,1271,162382,328463,4620,333083,1.4
13,Maharashtra,5241,751,5992,4320,301,4621,164,18,182,1784,74,1858,1536,186,1722,870,100,970,666,86,752,2676,32,2708,1254,0,1254,3180,29,3209,10473,237,10710,23629,984,24613,2539,15,2554,21090,969,22059,43708,3825,47533,1971,37,2008,4717,361,5078,192,1,193,1904,37,1941,52800,4157,56957,860,370,1230,3292,28,3320,1015,15,1030,17881,5671,23552,0,0,0,57014,5843,62857,239611,22957,262568,8.7
14,Manipur,62,2,64,20,0,20,0,0,0,7,0,7,76,2,78,51,0,51,25,2,27,1,0,1,0,0,0,27,0,27,19,0,19,54,0,54,2,0,2,52,0,52,110,16,126,6,0,6,34,3,37,16,1,17,4,0,4,114,6,120,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,596,12,608,1156,42,1198,3.5
15,Meghalaya,117,3,120,28,0,28,2,0,2,38,0,38,26,2,28,7,2,9,19,0,19,142,0,142,0,0,0,136,0,136,117,2,119,303,6,309,13,0,13,290,6,296,3,0,3,10,0,10,43,0,43,4,0,4,22,0,22,94,1,95,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,440,3,443,1531,17,1548,1.1
16,Mizoram,103,1,104,40,1,41,15,0,15,97,0,97,31,0,31,1,0,1,30,0,30,69,0,69,0,0,0,61,0,61,654,22,676,1518,39,1557,25,0,25,1493,39,1532,11,0,11,192,3,195,179,8,187,18,2,20,5,0,5,122,0,122,0,0,0,138,0,138,0,0,0,0,0,0,0,0,0,1387,50,1437,4640,126,4766,2.6
17,Nagaland,56,1,57,13,0,13,2,0,2,16,0,16,21,0,21,0,0,0,21,0,21,18,1,19,1,0,1,98,2,100,124,2,126,129,4,133,26,0,26,103,4,107,2,0,2,5,0,5,41,2,43,9,0,9,0,0,0,31,4,35,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,548,26,574,1117,42,1159,3.6
18,Orissa,1692,140,1832,1739,30,1769,54,0,54,936,6,942,593,10,603,511,9,520,82,1,83,1157,0,1157,198,0,198,1673,0,1673,3106,13,3119,6343,65,6408,233,0,233,6110,65,6175,9090,203,9293,245,1,246,622,8,630,10,0,10,408,9,417,7703,183,7886,607,128,735,2588,22,2610,192,2,194,1727,311,2038,38,0,38,34661,1693,36354,75382,2824,78206,3.6
19,Punjab,1363,108,1471,1500,80,1580,184,1,185,453,26,479,467,73,540,272,60,332,195,13,208,32,0,32,508,1,509,113,4,117,1337,62,1399,1968,44,2012,663,9,672,1305,35,1340,0,0,0,449,34,483,3103,245,3348,116,9,125,107,1,108,8705,519,9224,371,178,549,418,17,435,44,0,44,1592,569,2161,0,0,0,11215,669,11884,34045,2640,36685,7.2
20,Rajasthan,2669,223,2892,4879,217,5096,66,1,67,1173,25,1198,2305,109,2414,1649,88,1737,656,21,677,342,4,346,109,2,111,1121,20,1141,3634,49,3683,6656,166,6822,1250,1,1251,5406,165,5571,43800,3924,47724,305,5,310,2010,78,2088,37,0,37,1005,25,1030,24928,1687,26615,572,181,753,3235,49,3284,51,0,51,5669,1679,7348,0,0,0,98590,7387,105977,203156,15831,218987,7.2
21,Sikkim,21,0,21,16,0,16,1,0,1,8,0,8,2,0,2,1,0,1,1,0,1,4,0,4,0,0,0,3,0,3,45,3,48,69,9,78,0,0,0,69,9,78,73,9,82,4,0,4,11,0,11,0,0,0,1,0,1,79,5,84,0,0,0,0,0,0,0,0,0,28,0,28,0,0,0,145,8,153,510,34,544,6.3
22,Tamil Nadu,4325,247,4572,6555,305,6860,58,0,58,708,1,709,1460,86,1546,945,48,993,515,38,553,681,4,685,315,0,315,1140,9,1149,4510,88,4598,13886,399,14285,3575,15,3590,10311,384,10695,36864,2475,39339,303,7,310,1209,35,1244,143,2,145,1413,58,1471,38980,2530,41510,293,115,408,2878,22,2900,2278,28,2306,1243,336,1579,7,0,7,88858,7644,96502,208107,14391,222498,6.5
23,Tripura,424,9,433,58,0,58,0,0,0,100,4,104,323,2,325,117,2,119,206,0,206,77,0,77,0,0,0,85,0,85,182,0,182,254,5,259,0,0,0,254,5,259,662,43,705,31,0,31,33,1,34,8,0,8,55,1,56,592,27,619,23,6,29,61,1,62,0,0,0,162,37,199,0,0,0,927,25,952,4057,161,4218,3.8
24,Uttar Pradesh,17536,212,17748,17336,70,17406,3079,23,3102,2665,0,2665,6481,238,6719,3782,220,4002,2699,18,2717,3276,11,3287,335,0,335,5198,0,5198,5079,21,5100,15463,148,15611,1728,0,1728,13735,148,13883,38911,361,39272,2797,9,2806,5326,37,5363,192,0,192,1371,2,1373,37719,696,38415,5297,1144,6441,3309,0,3309,4637,0,4637,12297,2114,14411,0,0,0,106711,1527,108238,295015,6613,301628,2.2
25,West Bengal,3373,116,3489,744,17,761,974,20,994,989,9,998,1093,106,1199,851,86,937,242,20,262,2064,5,2069,1218,0,1218,1544,0,1544,572,8,580,12786,206,12992,1540,0,1540,11246,206,11452,22373,879,23252,462,4,466,896,4,900,74,0,74,448,15,463,5105,222,5327,590,139,729,1151,0,1151,60,0,60,6275,1234,7509,0,0,0,26302,2177,28479,89093,5161,94254,5.5
Total States,Total States,73447,3714,77161,70832,2759,73591,6601,160,6761,19408,269,19677,26678,1961,28639,15292,1468,16760,11386,493,11879,22478,117,22595,6617,3,6620,27412,243,27655,64160,1332,65492,152932,3898,156830,22105,168,22273,130827,3730,134557,406472,21106,427578,13937,323,14260,35515,1433,36948,2047,23,2070,14374,257,14631,427288,22933,450221,14314,3807,18121,40438,435,40873,13403,71,13474,83129,21538,104667,156,0,156,959261,49634,1008895,2480899,136016,2616915,5.2
26,A & N Islands,27,4,31,8,0,8,1,0,1,5,0,5,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,7,0,7,13,0,13,41,0,41,0,0,0,41,0,41,269,20,289,5,0,5,14,0,14,0,0,0,2,0,2,124,6,130,0,0,0,24,0,24,1,1,2,7,1,8,0,0,0,268,42,310,817,75,892,8.4
27,Chandigarh,22,1,23,84,1,85,10,1,11,28,1,29,57,4,61,34,3,37,23,1,24,1,0,1,0,0,0,13,3,16,125,6,131,608,14,622,155,0,155,453,14,467,379,26,405,39,0,39,228,14,242,4,1,5,7,0,7,180,16,196,4,5,9,46,0,46,14,0,14,91,36,127,0,0,0,1549,68,1617,3489,197,3686,5.3
28,D & N Haveli,23,2,25,12,0,12,0,0,0,3,0,3,18,0,18,3,0,3,15,0,15,0,0,0,0,0,0,7,0,7,46,0,46,103,0,103,5,0,5,98,0,98,192,0,192,5,0,5,12,0,12,0,0,0,6,0,6,42,6,48,1,1,2,7,0,7,1,0,1,2,3,5,0,0,0,291,13,304,771,25,796,3.1
29,Daman & DIU,3,1,4,22,0,22,0,0,0,1,0,1,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,14,1,15,27,0,27,1,0,1,26,0,26,163,6,169,4,0,4,4,1,5,0,0,0,4,0,4,54,4,58,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,57,4,61,358,17,375,4.5
30,Delhi,782,64,846,990,76,1066,77,9,86,529,50,579,544,46,590,298,33,331,246,13,259,271,1,272,223,1,224,1276,2,1278,2205,16,2221,8941,154,9095,2492,0,2492,6449,154,6603,1389,86,1475,221,7,228,1667,95,1762,54,1,55,23,1,24,3464,250,3714,212,109,321,710,16,726,135,4,139,561,174,735,0,0,0,21318,1369,22687,45592,2531,48123,5.3
31,Lakshadweep,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,0,13,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,23,1,24,4.2
32,Pondicherry,86,2,88,129,0,129,3,1,4,5,0,5,8,2,10,8,2,10,0,0,0,8,0,8,0,0,0,1,0,1,46,0,46,128,8,136,47,0,47,81,8,89,476,9,485,7,0,7,7,0,7,6,0,6,4,0,4,908,55,963,1,1,2,56,2,58,32,0,32,3,1,4,0,0,0,2910,207,3117,4824,288,5112,5.6
Total (UTs),Total (UTs),943,74,1017,1245,77,1322,91,11,102,572,51,623,630,53,683,346,39,385,284,14,298,280,1,281,223,1,224,1306,5,1311,2450,23,2473,9861,176,10037,2700,0,2700,7161,176,7337,2868,147,3015,281,7,288,1932,110,2042,64,2,66,46,1,47,4774,337,5111,218,116,334,843,18,861,183,5,188,665,215,880,0,0,0,26399,1704,28103,55874,3134,59008,5.3
Total (All -India),Total (All -India),74390,3788,78178,72077,2836,74913,6692,171,6863,19980,320,20300,27308,2014,29322,15638,1507,17145,11670,507,12177,22758,118,22876,6840,4,6844,28718,248,28966,66610,1355,67965,162793,4074,166867,24805,168,24973,137988,3906,141894,409340,21253,430593,14218,330,14548,37447,1543,38990,2111,25,2136,14420,258,14678,432062,23270,455332,14532,3923,18455,41281,453,41734,13586,76,13662,83794,21753,105547,156,0,156,985660,51338,1036998,2536773,139150,2675923,5.2
33,Ahmedabad,209,17,226,227,0,227,21,0,21,37,1,38,175,17,192,115,11,126,60,6,66,105,0,105,16,0,16,240,1,241,470,5,475,1122,38,1160,498,2,500,624,36,660,1440,58,1498,99,9,108,365,11,376,58,0,58,4,0,4,2698,176,2874,28,6,34,90,5,95,44,0,44,1172,530,1702,0,0,0,6454,433,6887,15074,1307,16381,8
34,Bangalore,333,23,356,566,11,577,8,2,10,44,0,44,137,6,143,41,4,45,96,2,98,136,0,136,71,0,71,298,4,302,710,14,724,1568,50,1618,434,0,434,1134,50,1184,1004,84,1088,94,5,99,451,34,485,34,1,35,0,0,0,3387,214,3601,125,56,181,243,17,260,6,0,6,415,158,573,0,0,0,2941,450,3391,12571,1129,13700,8.2
35,Bhopal,81,0,81,269,2,271,0,0,0,76,0,76,55,5,60,35,5,40,20,0,20,12,0,12,7,0,7,123,0,123,249,0,249,606,17,623,122,0,122,484,17,501,414,0,414,15,0,15,140,4,144,2,0,2,20,0,20,1261,53,1314,26,10,36,166,0,166,29,0,29,183,21,204,0,0,0,9064,357,9421,12798,469,13267,3.5
36,Calcutta,208,5,213,255,6,261,0,0,0,35,0,35,55,7,62,21,0,21,34,7,41,94,1,95,0,0,0,300,1,301,490,15,505,1384,43,1427,139,0,139,1245,43,1288,364,21,385,21,2,23,179,7,186,7,0,7,0,0,0,835,18,853,32,40,72,56,0,56,69,0,69,188,43,231,0,0,0,1139,96,1235,5711,305,6016,5.1
37,Chennai,24,2,26,36,0,36,0,0,0,8,0,8,46,1,47,14,1,15,32,0,32,5,0,5,8,0,8,26,3,29,96,5,101,641,67,708,152,0,152,489,67,556,310,48,358,22,0,22,29,1,30,10,0,10,3,0,3,243,12,255,9,3,12,21,0,21,72,0,72,37,22,59,0,0,0,2168,82,2250,3814,246,4060,6.1
38,Coimbatore,664,53,717,900,73,973,64,8,72,468,43,511,492,38,530,271,27,298,221,11,232,175,1,176,205,0,205,1134,2,1136,1940,14,1954,8430,137,8567,2076,0,2076,6354,137,6491,1119,49,1168,213,7,220,1619,95,1714,54,1,55,22,1,23,3103,168,3271,187,89,276,628,13,641,121,4,125,509,139,648,0,0,0,18666,1211,19877,40713,2146,42859,5
39,Delhi,199,12,211,136,0,136,6,0,6,63,0,63,81,0,81,33,0,33,48,0,48,14,0,14,0,0,0,65,0,65,954,27,981,1932,85,2017,874,0,874,1058,85,1143,478,5,483,15,0,15,317,0,317,8,0,8,0,0,0,3073,21,3094,16,3,19,85,0,85,35,0,35,677,169,846,0,0,0,1081,40,1121,9235,362,9597,3.8
40,Hyderabad,196,10,206,247,9,256,4,0,4,72,2,74,68,7,75,51,3,54,17,4,21,20,0,20,78,0,78,79,5,84,245,10,255,442,30,472,245,0,245,197,30,227,445,11,456,50,0,50,122,7,129,4,0,4,29,0,29,1660,72,1732,66,4,70,127,0,127,38,0,38,434,14,448,0,0,0,6520,300,6820,10946,481,11427,4.2
41,Indore,55,3,58,69,2,71,1,0,1,35,0,35,92,2,94,71,2,73,21,0,21,8,0,8,0,0,0,59,0,59,321,4,325,570,13,583,198,1,199,372,12,384,3352,232,3584,37,0,37,269,17,286,3,0,3,11,0,11,401,20,421,27,12,39,165,2,167,0,0,0,300,74,374,0,0,0,6334,456,6790,12109,837,12946,6.5
42,Jaipur,525,14,539,291,0,291,34,0,34,56,0,56,260,16,276,187,13,200,73,3,76,20,0,20,11,0,11,259,0,259,128,6,134,477,4,481,134,0,134,343,4,347,740,11,751,112,0,112,193,1,194,9,0,9,14,0,14,1871,50,1921,145,56,201,96,0,96,414,22,436,396,246,642,0,0,0,2533,73,2606,8584,499,9083,5.5
43,Kanpur,41,1,42,68,0,68,6,0,6,17,0,17,8,2,10,6,2,8,2,0,2,43,0,43,0,0,0,46,0,46,201,0,201,181,2,183,59,0,59,122,2,124,1126,18,1144,28,0,28,144,5,149,4,0,4,4,0,4,871,49,920,0,0,0,75,2,77,3,0,3,48,16,64,0,0,0,3706,68,3774,6620,163,6783,2.4
44,Kochi,62,4,66,138,5,143,17,0,17,38,0,38,99,6,105,68,3,71,31,3,34,71,1,72,167,0,167,181,0,181,72,1,73,2088,21,2109,192,0,192,1896,21,1917,649,0,649,161,0,161,476,0,476,1,0,1,0,0,0,1099,0,1099,27,11,38,207,0,207,51,0,51,196,33,229,0,0,0,2554,57,2611,8354,139,8493,1.6
45,Lucknow,290,0,290,223,0,223,41,0,41,43,0,43,147,4,151,127,4,131,20,0,20,36,0,36,14,0,14,98,0,98,190,2,192,569,6,575,106,0,106,463,6,469,776,0,776,173,0,173,466,3,469,12,0,12,7,0,7,190,0,190,73,8,81,70,0,70,193,0,193,593,47,640,0,0,0,2946,14,2960,7150,84,7234,1.2
46,Ludhiana,77,3,80,90,3,93,7,0,7,38,0,38,30,4,34,15,3,18,15,1,16,0,0,0,76,0,76,9,0,9,63,1,64,171,2,173,105,0,105,66,2,68,0,0,0,22,1,23,377,26,403,5,0,5,7,0,7,286,11,297,26,4,30,13,4,17,0,0,0,339,54,393,0,0,0,431,27,458,2067,140,2207,6.3
47,Madurai,87,0,87,177,2,179,0,0,0,8,0,8,27,0,27,14,0,14,13,0,13,44,0,44,0,0,0,46,0,46,81,0,81,392,17,409,114,0,114,278,17,295,371,106,477,2,1,3,33,0,33,9,1,10,4,0,4,274,7,281,7,3,10,37,3,40,94,0,94,63,36,99,0,0,0,2174,6,2180,3930,182,4112,4.4
48,Mumbai,503,33,536,353,5,358,10,3,13,156,12,168,129,74,203,9,10,19,120,64,184,271,2,273,353,0,353,343,0,343,1354,10,1364,4036,126,4162,350,0,350,3686,126,3812,2041,123,2164,383,10,393,728,63,791,117,1,118,2,0,2,5681,229,5910,60,19,79,226,6,232,37,4,41,1139,211,1350,0,0,0,7613,648,8261,25535,1579,27114,5.8
49,Nagpur,232,6,238,192,0,192,1,1,2,35,0,35,57,3,60,42,0,42,15,3,18,22,2,24,250,0,250,191,3,194,281,8,289,544,14,558,54,0,54,490,14,504,2482,125,2607,70,2,72,130,10,140,0,0,0,17,0,17,1128,47,1175,35,5,40,89,0,89,73,0,73,204,49,253,0,0,0,3068,17,3085,9101,292,9393,3.1
50,Patna,695,0,695,824,0,824,76,0,76,31,0,31,243,8,251,0,8,8,243,0,243,418,0,418,105,0,105,782,0,782,359,0,359,1609,1,1610,431,0,431,1178,1,1179,642,0,642,334,0,334,583,3,586,12,0,12,52,0,52,448,0,448,126,17,143,47,0,47,0,0,0,265,16,281,72,0,72,5987,9,5996,13710,54,13764,0.4
51,Pune,129,11,140,58,7,65,8,1,9,61,5,66,87,4,91,23,4,27,64,0,64,78,0,78,19,0,19,143,5,148,813,11,824,1491,52,1543,505,3,508,986,49,1035,2705,903,3608,88,1,89,192,15,207,10,0,10,32,0,32,1620,61,1681,1,0,1,63,0,63,109,2,111,241,126,367,0,0,0,2597,128,2725,10545,1332,11877,11.2
52,Surat,165,7,172,62,2,64,0,0,0,26,0,26,104,10,114,71,6,77,33,4,37,118,0,118,0,0,0,71,0,71,244,0,244,605,15,620,316,3,319,289,12,301,788,13,801,94,6,100,310,4,314,11,0,11,16,0,16,634,22,656,71,13,84,11,0,11,7,0,7,257,143,400,0,0,0,1458,56,1514,5052,291,5343,5.4
53,Vadodra,70,5,75,62,2,64,0,0,0,10,0,10,57,5,62,42,3,45,15,2,17,33,0,33,0,0,0,48,3,51,238,3,241,354,10,364,100,1,101,254,9,263,526,83,609,171,16,187,154,11,165,5,0,5,13,0,13,828,76,904,3,2,5,8,0,8,9,0,9,306,178,484,0,0,0,3372,386,3758,6267,780,7047,11.1
54,Varanasi,157,0,157,139,0,139,30,0,30,34,0,34,43,2,45,33,2,35,10,0,10,16,0,16,5,0,5,64,0,64,41,0,41,95,0,95,32,0,32,63,0,63,242,0,242,59,0,59,77,0,77,4,0,4,6,0,6,257,3,260,56,3,59,7,0,7,90,0,90,197,10,207,0,0,0,1063,12,1075,2682,30,2712,1.1
55,Vishakhapatnam,20,4,24,55,1,56,0,0,0,14,1,15,8,2,10,7,2,9,1,0,1,0,0,0,0,0,0,20,0,20,162,6,168,451,36,487,59,0,59,392,36,428,80,13,93,11,0,11,125,11,136,16,0,16,6,0,6,574,51,625,3,1,4,39,0,39,0,3,3,249,98,347,0,0,0,1034,144,1178,2867,371,3238,11.5
Total Cities,Total Cities,5022,213,5235,5437,130,5567,334,15,349,1405,64,1469,2500,223,2723,1296,113,1409,1204,110,1314,1739,7,1746,1385,0,1385,4625,27,4652,9702,142,9844,29758,786,30544,7295,10,7305,22463,776,23239,22094,1903,23997,2274,60,2334,7479,328,7807,395,4,399,269,1,270,32422,1360,33782,1149,365,1514,2569,52,2621,1494,35,1529,8408,2433,10841,72,0,72,94903,5070,99973,235435,13218,248653,5.3
