SI.No.,State/UT,Number of Deaths in Police Custody - during hospitalisation/ Treatment,Number of Deaths in Police Custody - due to Accidents,Number of Deaths in Police Custody - by Mob Attact/ Riot,Number of Deaths in Police Custody - by other Criminals,Number of Deaths in Police Custody - by Suicide,Number of Deaths in Police Custody - while escaping from Custody
1,Andhra Pradesh,0,0,1,0,1,0
2,Arunachal Pradesh,0,0,0,0,1,0
3,Assam,2,0,0,1,1,0
4,Bihar,1,0,0,0,0,0
5,Goa,0,0,0,0,1,0
6,Gujarat,3,1,0,0,2,1
7,Haryana,3,0,0,0,2,0
8,Himachal Pradesh,0,0,0,0,0,0
9,Jammu & Kashmir,0,0,0,0,0,0
10,Karnataka,1,1,0,0,0,0
11,Kerala,0,0,0,0,0,0
12,Madhya Pradesh,1,0,0,0,4,0
13,Maharashtra,13,0,0,2,10,1
14,Manipur,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0
16,Mizoram,0,0,0,0,0,0
17,Nagaland,0,0,0,0,0,0
18,Orissa,0,0,0,0,0,0
19,Punjab,0,0,0,0,1,0
20,Rajasthan,0,0,0,0,0,0
21,Sikkim,0,0,0,0,0,0
22,Tamil Nadu,0,0,0,0,0,2
23,Tripura,0,0,0,0,0,0
24,Uttar Pradesh,2,0,3,0,2,7
25,West Bengal,9,0,0,0,0,0
Total States,Total States,35,2,4,3,25,11
26,A & N Islands,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,1,0
28,D & N Haveli,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0
30,Delhi,0,0,0,0,0,0
31,Lakshadweep,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0
Total (UTs),Total (UTs),0,0,0,0,1,0
Total (All -India),Total (All -India),35,2,4,3,26,11
