SI.No.,States/UT,Rape**(Below 16 Years) - Incidence,Rape** (Below 16 Years) - Percentage Contribution to All -India,Infanticide - Incidence,Infanticide - Percentage Contribution to All -India,Foeticide - Incidence,Foeticide - Percentage Contribution to All -India,Abetment of Suicide - Incidence,Abetment of Suicide - Percentage Contribution to All -India,Exposure & Abandonment - Incidence,Exposure & Abandonment - Percentage Contribution to All -India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Percentage Contribution to All -India,Procuration of Minor Girls - Incidence,Procuration of Minor Girls - Percentage Contribution to All -India,Selling of Girls For Prostitution - Incidence,Selling of Girls For Prostitution - Percentage Contribution to All -India,Buying of Girls For Prostitution - Incidence,Buying of Girls For Prostitution - Percentage Contribution to All -India,Child Marriage Restraint Act ** - Incidence,Child Marriage Restraint Act ** - Percentage,Total - Incidence,Total - Percentage Contribution to All -India
1,Andhra Pradesh,222,7.1,8,7.7,8,8.8,10,55.6,22,3.3,51,7.2,2,1.4,3,20,0,0,7,7.6,333,6.6
2,Arunachal Pradesh,16,0.5,0,0,0,0,0,0,0,0,5,0.7,1,0.7,0,0,0,0,0,0,22,0.4
3,Assam,92,2.9,4,3.8,0,0,2,11.1,0,0,5,0.7,21,14.3,1,6.7,1,1.9,0,0,126,2.5
4,Bihar,94,3,4,3.8,1,1.1,0,0,3,0.5,47,6.6,27,18.4,1,6.7,0,0,1,1.1,178,3.5
5,Goa,10,0.3,0,0,0,0,0,0,2,0.3,0,0,1,0.7,0,0,0,0,0,0,13,0.3
6,Gujarat,68,2.2,4,3.8,0,0,0,0,88,13.3,76,10.7,19,12.9,0,0,43,81.1,31,33.7,329,6.5
7,Haryana,137,4.4,1,1,13,14.3,1,5.6,16,2.4,66,9.3,1,0.7,0,0,0,0,2,2.2,237,4.7
8,Himachal Pradesh,39,1.2,0,0,0,0,0,0,10,1.5,2,0.3,0,0,0,0,0,0,4,4.3,55,1.1
9,Jammu & Kashmir,13,0.4,1,1,0,0,0,0,3,0.5,3,0.4,0,0,0,0,0,0,0,0,20,0.4
10,Karnataka,67,2.1,2,1.9,1,1.1,0,0,9,1.4,57,8,7,4.8,0,0,0,0,2,2.2,145,2.9
11,Kerala,136,4.3,2,1.9,0,0,1,5.6,5,0.8,19,2.7,9,6.1,0,0,3,5.7,1,1.1,176,3.5
12,Madhya Pradesh,738,23.6,31,29.8,14,15.4,0,0,132,20,26,3.7,24,16.3,1,6.7,0,0,3,3.3,969,19.3
13,Maharashtra,367,11.7,20,19.2,41,45.1,2,11.1,265,40.2,74,10.4,24,16.3,5,33.3,1,1.9,33,35.9,832,16.6
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,12,0.4,1,1,0,0,0,0,0,0,2,0.3,0,0,0,0,0,0,0,0,15,0.3
16,Mizoram,27,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.5
17,Nagaland,6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.1
18,Orissa,119,3.8,0,0,1,1.1,0,0,0,0,13,1.8,4,2.7,0,0,0,0,0,0,137,2.7
19,Punjab,96,3.1,6,5.8,0,0,0,0,4,0.6,5,0.7,0,0,0,0,0,0,2,2.2,113,2.2
20,Rajasthan,85,2.7,5,4.8,9,9.9,2,11.1,57,8.6,11,1.5,0,0,0,0,0,0,4,4.3,173,3.4
21,Sikkim,2,0.1,3,2.9,0,0,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,6,0.1
22,Tamil Nadu,80,2.6,8,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1.8
23,Tripura,14,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.3
24,Uttar Pradesh,309,9.9,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,323,6.4
25,West Bengal,127,4.1,2,1.9,0,0,0,0,0,0,74,10.4,4,2.7,4,26.7,5,9.4,0,0,216,4.3
Total States,Total States,2876,91.8,102,98.1,88,96.7,18,100,616,93.3,550,77.4,145,98.6,15,100,53,100,90,97.8,4553,90.6
26,A & N Islands,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.2,4,0.1
27,Chandigarh,11,0.4,0,0,1,1.1,0,0,7,1.1,15,2.1,1,0.7,0,0,0,0,0,0,35,0.7
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,239,7.6,2,1.9,2,2.2,0,0,37,5.6,145,20.4,1,0.7,0,0,0,0,0,0,426,8.5
31,Lakshadweep,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,Pondicherry,3,0.1,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,4,0.1
Total (UTs),Total (UTs),256,8.2,2,1.9,3,3.3,0,0,44,6.7,161,22.6,2,1.4,0,0,0,0,2,2.2,470,9.4
Total (All -India),Total (All -India),3132,100,104,100,91,100,18,100,660,100,711,100,147,100,15,100,53,100,92,100,5023,100
