SI.No.,State/UT/City,Disposal of Cases under - Murder - Confession,Disposal of Cases under - Murder - Trial,Disposal of Cases under - Murder - Total,Disposal of Cases Under - Attempt To Commit Murder - Confession,Disposal of Cases Under - Attempt To Commit Murder - Trial,Disposal of Cases Under - Attempt To Commit Murder - Total,Disposal Of Cases Under - C.H. Not Amounting to Murder - Confession,Disposal Of Cases Under C.H. Not Amounting to Murder - Trial,Disposal Of Cases Under - C.H. Not Amounting to Murder - Total,Disposal Of Cases Under - Rape - Confession,Disposal Of Cases Under - Rape -Trial,Disposal Of Cases Under - Rape - Total,Disposal of Cases Under - Kidnapping & Abuduction - Confession,Disposal of Cases Under - Kidnapping & Abuduction - Trial,Disposal of Cases Under - Kidnapping & Abuduction - Total,Disposal of Cases Under - Women & Girls - Confession,Disposal of Cases Under - Women & Girls - Trial,Disposal of Cases Under - Women & Girls - Trial,Disposal of Cases Under - Others - Confession,Disposal of Cases Under - Others - Trial,Disposal of Cases Under - Others - Total,Disposal of Cases Under - Dacoity - Confession,Disposal of Cases Under - Dacoity - Trial,Disposal of Cases Under - Dacoity - Total,Disposal Of Cases Under - Preparation & Assembly for Dacoity - Confession,Disposal Of Cases Under - Preparation & Assembly for Dacoity - Trial,Disposal Of Cases Under - Preparation & Assembly for Dacoity - Total,Disposal of Cases Under - Robbery - Confession,Disposal of Cases Under - Robbery - Trial,Disposal of Cases Under - Robbery - Total,Disposal of Cases Under - Riot - Confession,Disposal of Cases Under - Riot - Trial,Disposal of Cases Under - Riot - Total,Disposal of Cases Under - Arson - Confession,Disposal of Cases Under - Arson - Trial,Disposal of Cases Under - Arson - Total,Disposal of Cases Under - Dowry Deaths - Confession,Disposal of Cases Under - Dowry Deaths - Trial,Disposal of Cases Under - Dowry Deaths - Total,Disposal of Cases Under - Total - Confession,Disposal of Cases Under - Total - Trial,Disposal of Cases Under - Total - Total
1,Andhra Pradesh,1,2289,2290,2,1246,1248,0,106,106,5,754,759,9,705,714,3,435,438,6,270,276,3,431,434,0,2,2,8,865,873,86,3464,3550,14,527,541,0,430,430,128,10819,10947
2,Arunachal Pradesh,0,29,29,0,16,16,0,7,7,0,12,12,0,21,21,0,11,11,0,10,10,0,9,9,0,0,0,0,32,32,0,8,8,0,1,1,0,0,0,0,135,135
3,Assam,44,804,848,4,163,167,0,19,19,6,370,376,2,433,435,0,368,368,2,65,67,4,200,204,0,16,16,20,240,260,58,1379,1437,9,149,158,0,20,20,147,3793,3940
4,Bihar,9,2242,2251,2,1936,1938,0,255,255,2,579,581,7,1016,1023,4,370,374,3,646,649,6,858,864,0,91,91,3,685,688,22,6085,6107,3,203,206,3,370,373,57,14320,14377
5,Goa,0,44,44,0,5,5,0,10,10,0,19,19,0,9,9,0,8,8,0,1,1,0,5,5,0,0,0,0,28,28,0,118,118,0,13,13,0,0,0,0,251,251
6,Gujarat,13,510,523,0,195,195,0,3,3,3,184,187,1,354,355,1,294,295,0,60,60,1,81,82,0,1,1,2,291,293,30,955,985,2,183,185,0,75,75,52,2832,2884
7,Haryana,7,518,525,8,318,326,1,61,62,4,307,311,8,197,205,5,130,135,3,67,70,0,44,44,0,56,56,0,151,151,17,672,689,0,126,126,8,186,194,53,2636,2689
8,Himachal Pradesh,0,52,52,0,34,34,0,2,2,0,69,69,0,33,33,0,30,30,0,3,3,0,4,4,0,0,0,0,8,8,7,264,271,3,39,42,0,3,3,10,508,518
9,Jammu & Kashmir,1,120,121,0,331,331,0,11,11,0,105,105,0,239,239,0,228,228,0,11,11,0,3,3,0,0,0,0,31,31,0,313,313,0,47,47,0,4,4,1,1204,1205
10,Karnataka,2,1142,1144,0,784,784,0,29,29,0,196,196,0,339,339,0,152,152,0,187,187,0,144,144,0,2,2,2,487,489,64,4869,4933,0,255,255,0,105,105,68,8352,8420
11,Kerala,10,168,178,8,166,174,0,25,25,9,135,144,1,55,56,0,41,41,1,14,15,0,30,30,0,1,1,3,112,115,156,2850,3006,0,85,85,0,7,7,187,3634,3821
12,Madhya Pradesh,78,2893,2971,60,3101,3161,6,232,238,40,2934,2974,2,832,834,1,641,642,1,191,192,2,207,209,0,117,117,4,1421,1425,142,3867,4009,23,788,811,0,510,510,357,16902,17259
13,Maharashtra,1,1487,1488,2,522,524,0,56,56,1,621,622,1,415,416,1,314,315,0,101,101,0,195,195,0,53,53,0,1036,1036,120,3197,3317,1,554,555,0,207,207,126,8343,8469
14,Manipur,0,2,2,0,1,1,0,0,0,0,2,2,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,9,9
15,Meghalaya,0,13,13,0,3,3,0,0,0,0,3,3,0,5,5,0,3,3,0,2,2,0,7,7,0,0,0,0,10,10,0,2,2,0,2,2,0,3,3,0,48,48
16,Mizoram,6,148,154,1,73,74,2,20,22,30,213,243,2,34,36,0,1,1,2,33,35,3,40,43,0,0,0,11,76,87,0,4,4,13,44,57,0,0,0,68,652,720
17,Nagaland,3,24,27,0,19,19,0,5,5,0,8,8,0,17,17,0,10,10,0,7,7,4,18,22,0,0,0,16,47,63,0,5,5,0,1,1,0,0,0,23,144,167
18,Orissa,0,816,816,5,1068,1073,0,73,73,11,507,518,5,401,406,5,359,364,0,42,42,0,220,220,0,6,6,0,662,662,17,2072,2089,0,476,476,0,200,200,38,6501,6539
19,Punjab,0,600,600,0,442,442,0,52,52,1,228,229,2,124,126,2,91,93,0,33,33,0,4,4,0,25,25,1,30,31,0,1,1,0,22,22,0,119,119,4,1647,1651
