SI.No,Crime Head,1996,1997,1998,1999,2000
1,Murder,2.2,2.2,2.2,2.1,2.1
2,Attempt to Commit Murder,1.7,1.7,1.7,1.7,1.7
3,C.H. Not Amounting to Murder,0.2,0.2,0.2,0.2,0.2
4,Rape,0.9,0.9,0.9,0.9,0.9
5,Kidnapping & Abduction,1.2,1.3,1.3,1.3,1.3
5,I)Of Women & Girls,0.9,0.9,0.9,0.9,0.8
5,II)Of Others,0.3,0.4,0.4,0.4,0.4
6,Dacoity,0.5,0.5,0.5,0.4,0.4
7,Preparation & Assembly for Dacoity,0.1,0.1,0.1,0.1,0.1
8,Robbery,1.3,1.3,1.3,1.2,1.2
9,Burglary,6.7,6.6,6.7,6.3,6
10,Theft,16.7,16.1,16.2,15.4,14.6
10,I) Auto Theft,NA,NA,NA,3.4,3.3
10,II) Other Theft,NA,NA,NA,12,11.3
11,Riots,5.4,5.3,5.1,4.6,4.5
12,Criminal Breach of Trust,0.9,0.9,0.9,0.9,0.8
13,Cheating,2,2,2.2,2.3,2.4
14,Counterfeiting,0.2,0.1,0.1,0.1,0.1
15,Arson,0.7,0.7,0.7,0.6,0.6
16,Hurt,13.1,13.3,13.3,13.4,13.6
17,Dowry Deaths,0.3,0.3,0.4,0.4,0.4
18,Molestation,1.7,1.8,1.7,1.8,1.9
19,Sexual Harassment,0.3,0.3,0.5,0.5,0.6
20,Cruelty by Husband and Relatives,2.1,2.1,2.3,2.5,2.6
21,Importation of Girls,NA,NA,NA,0,0
22,Other IPC Crimes,41.8,42.2,41.8,43.3,44
23,Total Cognizable Crimes Under IPC,100,100,100,100,100
