SI.No,State/UT/City,Years - 1995,Years - 1996,Years - 1997,Years - 1998,Years - 1999,Quinquenial Avg.(1995-99)(Q.A),2000,Percentage Change In 2000[(+)Increase /(-) Decrease] Over Q A,Percentage Change In 2000[(+)Increase /(-) Decrease] Over 1999
1,Andhra Pradesh,105016,109759,114963,122536,120364,114528,121279,5.9,0.8
2,Arunachal Pradesh,1907,1927,1876,1663,2266,1928,2367,22.8,4.5
3,Assam,36494,36490,36562,38146,37292,36997,35178,-4.9,-5.7
4,Bihar,115598,117017,117401,116045,118648,116942,124082,6.1,4.6
5,Goa,3545,2798,2895,3119,2589,2989,2422,-19,-6.5
6,Gujarat,123514,117821,117823,125892,124786,121967,115859,-5,-7.2
7,Haryana,33823,33516,31981,37228,39713,35252,39490,12,-0.6
8,Himachal Pradesh,11147,10776,10242,10954,11077,10839,11135,2.7,0.5
9,Jammu & Kashmir,15018,17478,17192,17420,17103,16842,17517,4,2.4
10,Karnataka,120334,114475,114863,110533,110559,114153,109410,-4.2,-1
11,Kerala,87262,86141,92523,93020,94448,90679,99033,9.2,4.9
12,Madhya Pradesh,197445,196779,205026,201544,205964,201352,216441,7.5,5.1
13,Maharashtra,194163,187471,185122,180288,177436,184896,173466,-6.2,-2.2
14,Manipur,2596,2573,2974,2566,2469,2636,2577,-2.2,4.4
15,Meghalaya,1773,1863,1978,1828,1718,1832,1702,-7.1,-0.9
16,Mizoram,2396,2241,2120,2531,2220,2302,2316,0.6,4.3
17,Nagaland,1395,1378,1477,1293,1249,1358,1368,0.7,9.5
18,Orissa,50995,50619,51359,51063,50393,50886,49419,-2.9,-1.9
19,Punjab,11145,13922,15069,16922,20272,15466,24374,57.6,20.2
20,Rajasthan,148266,161621,165469,167463,168189,162202,160983,-0.8,-4.3
21,Sikkim,633,710,623,536,776,656,432,-34.1,-44.3
22,Tamil Nadu,126761,131497,141867,149293,145709,139025,151329,8.8,3.9
23,Tripura,3731,3630,3444,3616,3129,3510,3372,-3.9,7.8
24,Uttar Pradesh,177992,172480,152779,184461,173643,172271,175668,2,1.2
25,West Bengal,69413,69118,65481,67950,66525,67697,65834,-2.8,-1
Total States,Total States,1642362,1644100,1653109,1707910,1698537,1669204,1707053,2.3,0.5
26,A & N Islands,464,376,477,540,603,492,752,52.8,24.7
27,Chandigarh,2032,2048,2181,1974,2735,2194,2935,33.8,7.3
28,D & N Haveli,436,410,347,513,413,424,440,3.8,6.5
29,Daman & Diu,283,258,267,266,247,264,251,-5,1.6
30,Delhi,47686,59871,60883,64882,58701,58405,56249,-3.7,-4.2
31,Lakshadweep,31,44,26,56,31,38,24,-36.2,-22.6
32,Pondicherry,2402,2469,2530,2674,3362,2687,3380,25.8,0.5
Total (UTs),Total (UTs),53334,65476,66711,70905,66092,64504,64031,-0.7,-3.1
Total (All -India),Total (All -India),1695696,1709576,1719820,1778815,1764629,1733707,1771084,2.2,0.4
33,Ahmedabad,15472,15244,16561,15866,15652,15759,14150,-10.2,-9.6
34,Bangalore,28899,28875,30601,29265,27967,29121,27184,-6.7,-2.8
35,Bhopal,8324,7712,9469,9373,9492,8874,10961,23.5,15.5
36,Calcutta,5842,6143,7607,7375,6788,6751,6212,-8,-8.5
37,Chennai,3019,3268,4363,3808,3799,3651,3668,0.5,-3.4
38,Coimbatore,42759,54199,55825,59011,52731,52905,51324,-3,-2.7
39,Delhi,9197,9154,11060,11143,11595,10430,11592,11.1,0
40,Hyderabad,9583,9025,8581,7964,8591,8749,10699,22.3,24.5
41,Indore,12612,13418,13359,12772,12423,12917,12960,0.3,4.3
42,Jaipur,5740,5704,6266,9043,6810,6713,6716,0.1,-1.4
43,Kanpur,4618,4276,4901,4903,4996,4739,5506,16.2,10.2
44,Kochi,11671,12395,11274,11384,11447,11634,12976,11.5,13.4
45,Lucknow,6401,5514,6064,6064,7046,6218,7491,20.5,6.3
46,Ludhiana,871,1194,1462,1744,1880,1430,1625,13.6,-13.6
47,Madurai,3643,4016,3697,4580,3698,3927,3846,-2.1,4
48,Mumbai,40512,32503,32654,30017,29354,33008,29238,-11.4,-0.4
49,Nagpur,8887,9329,8895,9642,9509,9252,9571,3.4,0.7
50,Patna,5103,4971,5405,5728,5631,5368,5733,6.8,1.8
51,Pune,9459,9569,10455,9770,9561,9763,8941,-8.4,-6.5
52,Surat,5264,4899,5058,5721,4576,5104,3931,-23,-14.1
53,Vadodra,5499,6924,6870,6832,5796,6384,5657,-11.4,-2.4
54,Varanasi,1907,1888,1541,1541,1375,1650,1911,15.8,39
55,Vishakhapatnam,2648,2837,2979,3053,3782,3060,3384,10.6,-10.5
Total Cities,Total Cities,247930,253057,264947,266599,254499,257406,255276,-0.8,0.3
