SI.No.,State/UT,Total No. of Cases for trial Including Pending Cases,Cases Withdrawn by Govt.,No. of Cases - Compounded or Withdrawn,No. of Cases - In which trials were completed - convicted,No. of Cases - In which Trials were Completed - acquitted or discharged,No. of Cases - In which Trials were Completed - Total [(6) +(7)],No. of Cases - Pending Trial,Pendency Percentage,Percentage of Pendency to All India Total,Conviction Rate [(6)/(8)*100]
1,Andhra Pradesh,633773,6,1018,474014,108945,582959,49796,7.9,1.4,81.3
2,Arunachal Pradesh,369,0,0,14,7,21,348,94.3,0,66.7
3,Assam,9740,0,43,344,814,1158,8539,87.7,0.2,29.7
4,Bihar,32032,0,156,1632,2866,4498,27378,85.5,0.8,36.3
5,Goa,5866,1,3,1086,248,1334,4529,77.2,0.1,81.4
6,Gujarat,1069285,0,4094,21231,57437,78668,986523,92.3,27,27
7,Haryana,154858,8893,272,10992,17712,28704,125882,81.3,3.4,38.3
8,Himachal Pradesh,26206,1,88,226,4266,4492,21626,82.5,0.6,5
9,Jammu & Kashmir,15461,0,222,317,1863,2180,13059,84.5,0.4,14.5
10,Karnataka,58382,0,338,18518,18142,36660,21384,36.6,0.6,50.5
11,Kerala,53696,0,163,7854,4335,12189,41344,77,1.1,64.4
12,Madhya Pradesh,478399,2,483,221854,9346,231200,246716,51.6,6.7,96
13,Maharashtra,1099430,495,26361,19029,86152,105181,967888,88,26.5,18.1
14,Manipur,1510,0,0,9,1,10,1500,99.3,0,90
15,Meghalaya,974,8,0,39,14,53,921,94.6,0,73.6
16,Mizoram,2230,0,0,1458,435,1893,337,15.1,0,77
17,Nagaland,2331,2,1,287,13,300,2030,87.1,0.1,95.7
18,Orissa,12234,0,0,1580,2772,4352,7882,64.4,0.2,36.3
19,Punjab,60357,0,391,13122,5785,18907,41059,68,1.1,69.4
20,Rajasthan,82999,95,938,14414,4445,18859,63202,76.1,1.7,76.4
21,Sikkim,1064,0,0,871,60,931,133,12.5,0,93.6
22,Tamil Nadu,553737,384,24557,380932,43345,424277,104903,18.9,2.9,89.8
23,Tripura,207,0,0,15,49,64,143,69.1,0,23.4
24,Uttar Pradesh,1209909,8,510,305166,86732,391898,817501,67.6,22.4,77.9
25,West Bengal,1079954,0,490037,545622,9589,555211,34706,3.2,0.9,98.3
Total States,Total States,6645003,9895,549675,2040626,465373,2505999,3589329,54,98.4,81.4
26,A & N Islands,6754,0,0,2096,93,2189,4565,67.6,0.1,95.8
27,Chandigarh,1287,0,0,651,59,710,577,44.8,0,91.7
28,D & N Haveli,66,0,0,19,5,24,42,63.6,0,79.2
29,Daman & DIU,18,0,0,0,0,0,18,100,0,NA
30,Delhi,63367,0,0,6608,2183,8791,54576,86.1,1.5,75.2
31,Lakshadweep,4,0,0,0,0,0,4,100,0,NA
32,Pondicherry,881,0,0,755,7,762,119,13.5,0,99.1
Total (UTs),Total (UTs),72377,0,0,10129,2347,12476,59901,82.8,1.6,81.2
Total (All -India),Total (All -India),6717380,9895,549675,2050755,467720,2518475,3649230,54.3,100,81.4
