SI.No.,State/UT,Incidence,Percentage Contribution to All -India Total,Estimated Mid -Year Population (In Lakhs),Rate of Crimes,Rank*,Rank**
1,Andhra Pradesh,333,6.6,758.5,0.4,18,4
2,Arunachal Pradesh,22,0.4,12,1.8,4,20
3,Assam,126,2.5,263,0.5,16,14
4,Bihar,178,3.5,1005.6,0.2,28,9
5,Goa,13,0.3,16.1,0.8,12,24
6,Gujarat,329,6.5,484.9,0.7,13,5
7,Haryana,237,4.7,199.3,1.2,7,7
8,Himachal Pradesh,55,1.1,67.4,0.8,11,17
9,Jammu & Kashmir,20,0.4,99.9,0.2,26,21
10,Karnataka,145,2.9,523,0.3,24,12
11,Kerala,176,3.5,323.5,0.5,15,10
12,Madhya Pradesh,969,19.3,802.3,1.2,6,1
13,Maharashtra,832,16.6,914.3,0.9,10,2
14,Manipur,0,0,25.4,0,NA,NA
15,Meghalaya,15,0.3,24.5,0.6,14,22
16,Mizoram,27,0.5,9.6,2.8,3,19
17,Nagaland,6,0.1,17,0.4,22,26
18,Orissa,137,2.7,359.6,0.4,19,13
19,Punjab,113,2.2,236.2,0.5,17,15
20,Rajasthan,173,3.4,538.7,0.3,23,11
21,Sikkim,6,0.1,5.6,1.1,8,26
22,Tamil Nadu,88,1.8,619.3,0.1,29,16
23,Tripura,14,0.3,38.1,0.4,20,23
24,Uttar Pradesh,323,6.4,1715.4,0.2,27,6
25,West Bengal,216,4.3,793.3,0.3,25,8
Total States,Total States,4553,90.6,9852.4,0.5,NA,NA
26,A & N Islands,4,0.1,3.9,1,9,28
27,Chandigarh,35,0.7,8.9,3.9,1,18
28,D & N Haveli,0,0,1.9,0,NA,NA
29,Daman & DIU,0,0,1.4,0,NA,NA
30,Delhi,426,8.5,141,3,2,3
31,Lakshadweep,1,0,0.7,1.4,5,29
32,Pondicherry,4,0.1,11.2,0.4,21,28
Total (UTs),Total (UTs),470,9.4,169,2.8,NA,NA
Total (All NAIndia),Total (All NAIndia),5023,100,10021.4,0.5,NA,NA
