Sl. No.,Year,7-12 years,7-12 years - Percentage to Total,12-16 years,12-16 years - Percentage to Total,16-18 years,16-18 years - Percentage to Total,overall Age groups
1,1989,3681,11.9,23580,76.5,3555,11.5,30816
2,1990,5837,19.7,18887,63.8,4867,16.4,29591
3,1991,3435,16.1,14793,69.3,3130,14.7,21358
4,1992,3929,19.6,13437,67,2701,13.5,20067
5,1993,3694,21.5,11053,64.3,2456,14.3,17203
6,1994,3377,18,12013,63.9,3403,18.1,18793
7,1995,3490,18.3,11378,59.6,4230,22.1,19098
8,1996,2747,15.4,12171,68.4,2878,16.2,17796
9,1997,3336,17.6,11548,61,4039,21.3,18923
10,1998,4039,21.9,10311,55.9,4110,22.3,18460
11,1999,3292,18.3,11389,63.3,3301,18.4,17982
Percentage Change in 2000 Over 1990,Percentage Change in 2000 Over 1990,-10.6,NA,-51.7,NA,-7.1,NA,-41.6
Percentage Change in 2000 Over 1990,Percentage Change in 2000 Over 1990,-18.5,NA,10.5,NA,-19.7,NA,-2.6
