SI.No.,Year,Estimated Mid-Year Population*(In Lakhs)**,Incidence - IPC,Incidence - SLL,Incidence - Total,Rate - IPC,Rate - SLL,Rate - Total,Percentage of IPC Crimes to total Cognizable Crimes
1,1990,8270,1604449,3293563,4898012,194,398.3,592.3,32.8
2,1991,8496,1678375,3370971,5049346,197.5,396.8,594.3,33.2
3,1992,8677,1689341,3558448,5247789,194.7,410.1,604.8,32.2
4,1993,8838,1629936,3803638,5433574,184.4,430.4,614.8,30
5,1994,9000,1635251,3876994,5512245,181.7,430.8,612.5,29.7
6,1995,9160,1695696,4297476,5993172,185.1,469.2,654.3,28.3
7,1996,9319,1709576,4586986,6296562,183.4,492.2,675.6,27.2
8,1997,9552,1719820,4691439,6411259,180,491.1,671.2,26.8
9,1998,9709,1778815,4403288,6182103,183.2,453.5,636.7,28.8
10,1999,9866,1764629,3147101,4911730,178.9,319,497.8,35.9
11,2000,10021,1771084,3396666,5167750,176.7,338.9,515.7,34.3
12,Percentage change in 2000 over 1990,21.2,10.4,3.1,5.5,-8.9,-14.9,-12.9,4.6
13,Compound growth rate per annum,1.9,0.9,1,1,-1,-0.9,-0.9,-0.1
