SI.No.,State/UT/City,No. of Cases Reported,No. of Victims - Upto 10 Years,No. of Victims - 11-15 Years,No. of Victims - 16-18 Years,No. of Victims - 19-30 Years,No. of Victims - 31-50 Years,No. of Victims - Above 50 Years
1,Andhra Pradesh,0,0,0,0,0,0,0
2,Arunachal Pradesh,1,0,0,1,0,0,0
3,Assam,1,1,0,0,0,0,0
4,Bihar,11,0,2,4,5,0,0
5,Goa,2,0,2,0,0,0,0
6,Gujarat,5,0,1,1,2,1,0
7,Haryana,16,2,4,4,5,1,0
8,Himachal Pradesh,0,0,0,0,0,0,0
9,Jammu & Kashmir,0,0,0,0,0,0,0
10,Karnataka,0,0,0,0,0,0,0
11,Kerala,0,0,0,0,0,0,0
12,Madhya Pradesh,110,5,23,34,37,11,0
13,Maharashtra,8,1,4,2,1,0,0
14,Manipur,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0
16,Mizoram,2,1,1,0,0,0,0
17,Nagaland,0,0,0,0,0,0,0
18,Orissa,64,1,10,18,26,9,0
19,Punjab,25,5,5,10,5,0,0
20,Rajasthan,15,0,1,10,3,1,0
21,Sikkim,0,0,0,0,0,0,0
22,Tamil Nadu,64,0,4,28,32,0,0
23,Tripura,0,0,0,0,0,0,0
24,Uttar Pradesh,9,1,2,4,2,0,0
25,West Bengal,13,0,0,8,5,0,0
Total States,Total States,346,17,59,124,123,23,0
26,A & N Islands,0,0,0,0,0,0,0
27,Chandigarh,2,1,1,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0
30,Delhi,15,3,7,5,0,0,0
31,Lakshadeep,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0
Total (UTs),Total (UTs),17,4,8,5,0,0,0
Total (All -India),Total (All -India),363,21,67,129,123,23,0
33,Ahmedabad,1,0,0,1,0,0,0
34,Bangalore,0,0,0,0,0,0,0
35,Bhopal,0,0,0,0,0,0,0
36,Calcutta,0,0,0,0,0,0,0
37,Chennai,0,0,0,0,0,0,0
38,Coimbatore,15,3,7,5,0,0,0
39,Delhi,0,0,0,0,0,0,0
40,Hyderabad,0,0,0,0,0,0,0
41,Indore,0,0,0,0,0,0,0
42,Jaipur,0,0,0,0,0,0,0
43,Kanpur,1,0,0,0,1,0,0
44,Kochi,0,0,0,0,0,0,0
45,Lucknow,0,0,0,0,0,0,0
46,Ludhiana,0,0,0,0,0,0,0
47,Madurai,0,0,0,0,0,0,0
48,Mumbai,0,0,0,0,0,0,0
49,Nagpur,0,0,0,0,0,0,0
50,Patna,0,0,0,0,0,0,0
51,Pune,0,0,0,0,0,0,0
52,Surat,0,0,0,0,0,0,0
53,Vadodra,0,0,0,0,0,0,0
54,Varanasi,0,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0,0,0
Total Cities,Total Cities,17,3,7,6,1,0,0
