SI.No.,Purpose,Total no. of Cases Reported,Sex-wise/Age group-wise - Upto 10 Years - Male,Sex-wise/Age group-wise - Upto 10 Years - Female,Sex-wise/Age group-wise - 11 to 15 Years - Male,Sex-wise/Age group-wise - 11 to 15 Years - Female,Sex-wise/Age group-wise - 16 to 18 Years - Male,Sex-wise/Age group-wise - 16 to 18 Years - Female,Sex-wise/Age group-wise - 19 to 30 Years - Male,Sex-wise/Age group-wise - 19 to 30 Years - Female,Sex-wise/Age group-wise - 31 to 50 Years - Male,Sex-wise/Age group-wise - 31 to 50 Years - Female,Sex-wise/Age group-wise - Above to 50 Years - Male,Sex-wise/Age group-wise - Above to 50 Years - Female,Sex-wise/Age group-wise - Total - Male,Sex-wise/Age group-wise - Total - Female,Sex-wise/Age group-wise - Grand Total
1,For Adoption,121,3,6,3,6,12,7,39,13,30,0,2,0,89,32,121
2,For Begging,18,5,2,8,0,0,0,11,1,6,0,0,0,30,3,33
3,For Camel Racing,4,0,0,0,1,0,3,0,0,0,0,0,0,0,4,4
4,For Illicit Intercourse,2179,6,11,16,381,14,664,5,914,1,178,0,3,42,2151,2193
5,For Marriage,9331,3,4,8,915,193,3748,107,3818,40,544,1,2,352,9031,9383
6,For Prostitution,200,0,6,2,35,4,143,8,58,3,8,0,0,17,250,267
7,For Ransom,1331,92,19,106,11,223,26,600,29,372,4,30,10,1423,99,1522
8,For Revenge,895,37,8,57,21,124,13,380,30,206,16,14,3,818,91,909
9,For Sale,37,1,0,1,8,0,6,2,19,0,0,0,0,4,33,37
10,For Selling body parts,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2
11,for slavery,134,1,1,7,7,14,33,51,10,12,2,0,0,85,53,138
12,For Unlawaful activity,615,20,9,41,67,69,67,173,78,90,19,7,1,400,241,641
13,others,7552,190,160,296,429,779,913,1875,1429,1053,394,153,17,4346,3342,7688
14,Total,22419,358,226,546,1881,1432,5623,3252,6399,1813,1165,207,36,7608,15330,22938
