SL.No.,Crime Head,1999,2000,Percentage Variation in 2000 Over 1999,Percentage Share of Arrestees under Each Crime During 2000
1,Arms Act,64949,64930,0,1.6
2,Narcotic Drugs & Psychotropic Substances Act,22866,25126,9.9,0.6
3,Gambling Act,255854,301886,18,7.6
4,Excise Act,115586,127911,10.7,3.2
5,Prohibition Act,546736,536379,-1.9,13.6
6,Explosive & Explosive Substances Act,5265,6177,17.3,0.2
7,Immoral Traffic (P) Act,14799,13870,-6.3,0.4
8,Indian Railways Act,37510,55516,48,1.4
9,Registration of Foreigners Act,2792,2641,-5.4,0.1
10,Protection of Civil Rights Act,1512,1260,-16.7,0
11,Indian Passport Act,905,630,-30.4,0
12,Essential Commodities Act,7149,6493,-9.2,0.2
13,Terrorist & Disruptive Actvites Act,0,43,NA,NA
14,Antiquity & Art Treasure Act,47,48,2.1,0
15,Dowry Prohibition Act,6641,6711,1.1,0.2
16,Child Marriage Restraint Act,177,332,87.6,0
17,Indecent Representation of Women (P)Act,283,2373,738.5,0.1
18,Copy Rights Act,2887,3688,27.7,0.1
19,Sati Prevention Act,0,0,NA,NA
20,SC/ST (Prevention of Atrocities ) Act,24568,26773,9,0.7
21,Forest Act,11325,9590,-15.3,0.2
22,Other SLL Crimes,2565278,2754205,7.4,69.8
23,Total cognizable Crimes Under SLL,3687129,3946582,7,100
