SI.No,Crime Head,Cases withdrawn by Govt.,Percentage of Cases to Total Cases for Trial - compounded or withdrawn,Percentage of Cases to total cases for Trial - in which trials were completed - convicted,Percentage of Cases to Total Cases For Trial - in Which Trials Were Completed - Acquitted or Discharged,Percentage of Cases to Total Cases For Trial - in Which Trials Were Completed - Total [ (5)+(6)],Percentage of Cases to Total Cases For Trial - Pending Trial,Conviction Rate [(5)/(8)*100]
1,Murder,0,0.2,5,9,14,85.8,35.6
2,Attempt to Commit Murder,0,0.6,5.2,9.7,14.9,84.5,34.9
3,C.H. Not Amounting Murder,0,0.4,5.5,8.6,14.1,85.5,39.3
4,Rape,0,0.2,4.9,11.6,16.5,83.2,29.8
5,Kidnapping & Abduction,0,0.7,4.6,11,15.6,83.7,29.5
5,I)Of Women & Girls,0,0.8,4.5,10.9,15.4,83.8,29.5
5,II)Of Others,0,0.5,4.7,11.3,16,83.4,29.5
6,Dacoity,0,0.1,2.6,7.3,9.9,90,26.6
7,Preparation & Assembly for Dacoity,0,0.2,3.3,9.2,12.5,87.3,26.5
8,Robbery,0,0.2,4,8.5,12.5,87.3,32.1
9,Burglary,0,0.7,5.6,9.2,14.8,84.6,37.9
10,Theft,0,0.6,5.6,8.3,13.9,85.5,40.4
10,I) Auto Theft,0,0.4,6.1,6.6,12.7,86.9,48.1
10,II) Other Theft,0,0.7,5.5,8.6,14.1,85.2,39.2
11,Riots,0,2.6,3.8,9.3,13,84.4,28.8
12,Criminal Breach of Trust,0,0.8,3.5,7.3,10.8,88.4,32.3
13,Cheating,0,1,3.3,7.1,10.4,88.7,31.4
14,Counterfeiting,0,0.4,5.3,10.7,16,83.6,33.2
15,Arson,0.1,1.1,3.6,12,15.6,83.3,23.2
16,Hurt,0,6.7,4.6,9,13.6,79.7,33.5
17,Dowry Deaths,0,0.7,5.9,10,15.9,83.3,37.1
18,Molestation,0,4.6,4.9,9.9,14.8,80.6,33
19,Sexual Harassment,0,1.8,21,10.2,31.1,67,67.4
20,Cruelty by Husband and Relatives,0,2.3,2.8,10,12.8,84.9,21.7
21,Importation of Girls,0,0,17.3,19.2,36.5,63.5,47.4
22,Other IPC Crimes,0,2.9,8.7,9,17.7,79.5,49.1
23,Total Cognizable Crimes Under IPC,0,2.8,6.5,9,15.5,81.7,41.8
