SL. No.,Crime Head,Total No. of Persons under Arrest* including those From previous Year,Persons Released before Trial in Number,Persons Released before Trial Percentage to Total,Persons Chargesheeted in Number,Persons Chargesheeted Percentage to Total,Persons under Investigation at the end of the Year in Number,Persons under Investigation at the end of the Year percentage to Total
1,Arms Act,75721,1367,1.8,62588,82.7,11766,15.5
2,Narcotic Drugs & Psychotropic Substances Act,33529,807,2.4,23989,71.5,8733,26
3,Gambling Act,311583,1164,0.4,298256,95.7,12163,3.9
4,Excise Act,147386,2658,1.8,125902,85.4,18826,12.8
5,Prohibition Act,619824,5446,0.9,529687,85.5,84691,13.7
6,Explosive & Explosive Substances Act,9175,319,3.5,5649,61.6,3207,35
7,Immoral Traffic (P) Act,15420,43,0.3,14572,94.5,805,5.2
8,Indian Railways Act,56501,192,0.3,55948,99,361,0.6
9,Registration of ForeIgners Act,3205,56,1.7,2731,85.2,418,13
10,Protection of Civil Rights Act,1675,87,5.2,1335,79.7,253,15.1
11,Indian Passport Act,1002,51,5.1,593,59.2,358,35.7
12,Essential Commodities Act,10679,478,4.5,6603,61.8,3598,33.7
13,Terrorist & Disruptive Actvites Act,4830,1982,41,280,5.8,2568,53.2
14,Antiquity & Art Treasure Act,114,11,9.6,71,62.3,32,28.1
15,Dowry Prohibition Act,8568,337,3.9,6239,72.8,1992,23.2
16,Child Marriage Restraint Act,339,1,0.3,298,87.9,40,11.8
17,Indecent Representation of Women (P)Act,2427,3,0.1,881,36.3,1543,63.6
18,Copy Rights Act,4472,113,2.5,3646,81.5,713,15.9
19,Sati Prevention Act,0,0,0,0,0,0,0
20,SC/ST (Prevention of Atrocities ) Act,30964,1273,4.1,25510,82.4,4181,13.5
21,Forest Act,10346,280,2.7,9375,90.6,691,6.7
22,Other SLL Crimes,2813493,153116,5.4,2597826,92.3,62551,2.2
23,Total cognizable Crimes Under SLL,4161253,169784,4.1,3771979,90.6,219490,5.3
