SI.No.,States/UT,Category of Complaints received oral,Category of complaints received written,Category of complaints received distress Call over Phone 100,Category of complaints received complaints Initiated Sue-Moto by Police,Category of Complaints received total complaints (Col.3 to 6),No of Cases registered under IPC,No of Cases Registered under SLL,No of Cases Registered under total
1,Andhra Pradesh,278998,210169,6977,59228,555372,121279,569837,691116
2,Arunachal Pradesh,12,2249,9,133,2403,2367,36,2403
3,Assam,55,35895,57,1620,37627,35178,2449,37627
4,Bihar,24080,99916,999,8645,133640,124082,7944*,132026
5,Goa,1200,818,0,404,2422,2422,1636,4058
6,Gujarat,119653,60543,1745,64144,246085,115859,152876,268735
7,Haryana,2500,69798,64,7118,79480,39490,22730,62220
8,Himachal Pradesh,710,13567,10,689,14976,11135,3841,14976
9,Jammu & Kashmir,3154,12435,42,5161,20792,17517,3275,20792
10,Karnataka,24817,90531,103,13029,128480,109410,19246,128656
11,Kerala,57383,81380,6435,22322,167520,99033,23529,122562
12,Madhya Pradesh,219190,82904,890,167276,470260,216441,253819,470260
13,Maharashtra,124010,298733,2210,178455,603408,173466,175287,348753
14,Manipur,0,2557,73,822,3452,2577,875,3452
15,Meghalaya,138,1810,45,105,2098,1702,170,1872
16,Mizoram,0,3228,0,269,3497,2316,1181,3497
17,Nagaland,58,1353,2,426,1839,1368,724,2092
18,Orissa,735,52268,0,1148,54151,49419,4732,54151
19,Punjab,2819,144328,357,1929,149433,24374,23866,48240
20,Rajasthan,21501,148101,10,19755,189367,160983,28384,189367
21,Sikkim,0,418,25,25,468,432,386,818
22,Tamil Nadu,119825,239803,5925,362743,728296,151329,576967,728296
23,Tripura,904,2186,125,157,3372,3372,106,3478
24,Uttar Pradesh,6902,177615,124,445887,630528,175668,454860,630528
25,West Bengal,14114,102580,5290,987221,1109205,65834,1051578,1117412
Total States,Total States,1022758,1935185,31517,2348711,5338171,1707053,3380334,5087387
26,A & N Islands,1453,301,0,2,1756,752,2907,3659
27,Chandigarh,0,4965,12901,63,17929,2935,774,3709
28,D & N Haveli,0,423,0,20,443,440,35,475
29,Daman & DIU,146,109,0,0,255,251,4,255
30,Delhi,20535,106570,156244,16680,300029,56249,11826,68075
31,Lakshadweep,0,27,0,3,30,24,6,30
32,Pondicherry,1875,1479,0,806,4160,3380,780,4160
Total (UTs),Total (UTs),24009,113874,169145,17574,324602,64031,16332,80363
Total (All -India),Total (All -India),1046767,2049059,200662,2366285,5662773,1771084,3396666,5167750
