SL. No.,Crime Head,Number of cases reported during - 1999,Number of cases reported during - 2000,Percentage Change in 2000 Over 1999
1,Arms Act,40,35,-12.5
2,Narcotic Drugs & Psychotropic Substances Act,9,16,77.8
3,Gambling Act,113,131,15.9
4,Excise Act,75,113,50.7
5,Prohibition Act,733,519,-29.2
6,Explosive & Explosive Substances Act,7,3,-57.1
7,Immoral Traffic (P) Act,75,82,9.3
8,Indian Railways Act,105,78,-25.7
9,Registration of Foreigners Act,14,10,-28.6
10,Protection Of Civil Rights Act,1,5,400
11,Indian Passport Act,16,4,-75
12,Essential Commodities Act,2,4,100
13,Terrorist & Disruptive Actvites Act,0,0,NA
14,Antiquity & Art Treasure Act,0,0,NA
15,Dowry Prohibition Act,3,3,0
16,Child Marriage Restraint Act,1,5,400
17,Indecent Representation of Women (P)Act,1,25,2400
18,Copy Rights Act,2,4,100
19,Sati Prevention Act,0,0,NA
20,SC/ST (Prevention of Atrocities ) Act,18,25,38.9
21,Forest Act,73,2,-97.3
22,Other SLL Crimes,4281,4090,-4.5
23,Total cognizable Crimes Under Sll,5569,5154,-7.5
