SI.No,Crime Head,Cases withdrawn by Govt.,Percentage of cases to total Cases for investigation in which Investigation was Refused,Percentage of cases to total Cases for investigation in which Investigation was completed charge found False /Mistake of Fact or Law Etc.,Percentage of cases to total Cases for investigation in which Investigation was Completed Final report true Submitted,Percentage of cases to total cases for investigation in which Investigation was completed chargesheets were submitted,Percentage of cases to total cases for investigation in which Investigation was completed total [(5)+(6)+(7)],Percentage of Cases Pending Investigation,Chargesheeting Rate [(7)/(6)+(7)]*100)
1,Murder,0,0.2,2.1,12.2,49.9,64.2,35.5,80.4
2,Attempt to Commit Murder,0,0.2,3.1,9,60.7,72.8,27,87.1
3,C.H. Not Amounting Murder,0,0.1,1.9,11.2,50.9,64.1,35.8,81.9
4,Rape,0,0.1,5.3,4.1,63.4,72.8,27.1,94
5,Kidnapping & Abduction,0,0.3,14.5,11.7,36.6,62.9,36.8,75.7
5,I)Of Women & Girls,0,0.3,15.9,11,36.7,63.7,36,77
5,II)Of Others,0,0.2,11.7,13.2,36.4,61.3,38.5,73.4
6,Dacoity,0,0.1,3.3,18,31.8,53.2,46.7,63.8
7,Preparation & Assembly for Dacoity,0,0.7,2,4.1,51.1,57.2,42.2,92.6
8,Robbery,0,0.2,5,24.8,37.8,67.5,32.3,60.4
9,Burglary,0,0.2,2.8,45.9,27.5,76.2,23.6,37.5
10,Theft,0,0.4,3.1,41.7,29.2,74,25.6,41.2
10,I) Auto Theft,0,0.4,2.5,47,24,73.6,26.1,33.8
10,II) Other Theft,0,0.4,3.3,40.1,30.8,74.2,25.5,43.4
11,Riots,0,0.1,9.3,6.5,61.8,77.6,22.2,90.5
12,Criminal Breach of Trust,0,0.4,8.4,14.9,36.9,60.1,39.4,71.2
13,Cheating,0,0.7,13.9,12.7,31.5,58.1,41.2,71.3
14,Counterfeiting,0,1,0.6,9.4,14.7,24.7,74.3,60.9
15,Arson,0,0.5,10.7,22,42.6,75.3,24.1,66
16,Hurt,0,0.2,3.7,4.3,78,86,13.9,94.8
17,Dowry Deaths,0,0.1,4.1,4.2,64.4,72.7,27.1,93.9
18,Molestation,0,0,5.7,2.9,77.7,86.3,13.7,96.4
19,Sexual Harassment,0,0.4,5.1,1.7,84.6,91.3,8.3,98
20,Cruelty by Husband and Relatives,0,0.2,8.9,4.8,65.6,79.3,20.5,93.1
21,Importation of Girls,0,0,1.6,0,78.1,79.7,20.3,100
22,Other IPC Crimes,0,0.2,4.9,8.4,70.6,83.9,15.9,89.3
23,Total Cognizable Crimes Under IPC,0,0.2,5,15.9,57.9,78.8,20.9,78.4
