SI.No,Crime Head,1990 - Incidence,1990 - Rate,1995 - Incidence,1995 - Rate,1996 - Incidence,1996 - Rate,1997 - Incidence,1997 - Rate,1998 - Incidence,1998 - Rate,1999 - Incidence,1999 - Rate,Quinquenial Avg.(1995-99)(Q.A) - Incidence,Quinquenial Avg.(1995-99)(Q.A) - Rate,2000 - Incidence,2000 - Rate,Percentage Change In 2000[(+)Increase /(-) Decrease] Over 1990,Rate - 2000 Over 1990,Percentage Change In 2000 [(+)Increase /(-) Decrease] Over Q.A,Rate - 2000 Over Q.A,Percentage Change In 2000 [(+)Increase /(-) Decrease] Over 1999,Rate - 2000 Over 1999
1,Murder,35045,4.2,37464,4.1,37671,4,37543,3.9,38584,4,37170,3.8,37686,4,37399,3.7,6.7,NA,-0.8,NA,0.6,NA
2,Attempt to Commit Murder,27095,3.3,29571,3.2,29597,3.2,29322,3.1,30577,3.1,29628,3,29739,3.1,30743,3.1,13.5,NA,3.4,NA,3.8,NA
3,C.H. Not Amounting To Murder,4281,0.5,3830,0.4,3728,0.4,3869,0.4,3681,0.4,3912,0.4,3804,0.4,3773,0.4,-11.9,NA,-0.8,NA,-3.6,NA
4,Rape,10068,1.2,13754,1.5,14846,1.6,15330,1.6,15151,1.6,15468,1.6,14910,1.6,16496,1.6,63.8,NA,10.6,NA,6.6,NA
5,Kidnapping & Abduction,18474,2.2,20426,2.2,20848,2.2,21898,2.3,23520,2.4,23236,2.4,21986,2.3,22871,2.3,23.8,NA,4,NA,-1.6,NA
5,I)of Women & Girls,14446,1.7,14063,1.5,14877,1.6,15617,1.6,16351,1.7,15962,1.6,15374,1.6,15023,1.5,4,NA,-2.3,NA,-5.9,NA
5,II)of Others,4028,0.5,6363,0.7,5971,0.6,6281,0.7,7169,0.7,7274,0.7,6612,0.7,7848,0.8,94.8,NA,18.7,NA,7.9,NA
6,Dacoity,11089,1.3,8335,0.9,8035,0.9,7867,0.8,8091,0.8,7079,0.7,7881,0.8,6825,0.7,-38.5,NA,-13.4,NA,-3.6,NA
7,Preparation & Assembly for Dacoity,1286,0.2,961,0.1,888,0.1,1049,0.1,1266,0.1,1501,0.2,1133,0.1,1505,0.2,17,NA,32.8,NA,0.3,NA
8,Robbery,25440,3.1,22443,2.5,22705,2.4,22141,2.3,23603,2.4,21332,2.2,22445,2.4,20926,2.1,-17.7,NA,-6.8,NA,-1.9,NA
9,Burglary,131331,15.9,116507,12.7,115097,12.4,113319,11.9,119260,12.3,111296,11.3,115096,12.1,105391,10.5,-19.8,NA,-8.4,NA,-5.3,NA
10,Theft,353191,42.7,294306,32.1,284985,30.6,277077,29,287967,29.7,271907,27.6,283248,29.8,258588,25.8,-26.8,NA,-8.7,NA,-4.9,NA
10,i) Auto Theft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59685,6,NA,NA,58415,5.8,NA,NA,NA,NA,-2.1,NA
10,ii) Other Theft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212154,21.5,NA,NA,200173,20,NA,NA,NA,NA,-5.6,NA
11,Riots,102846,12.4,96520,10.5,92831,10,91812,9.6,90767,9.3,80838,8.2,90554,9.5,80456,8,-21.8,NA,-11.2,NA,-0.5,NA
12,Criminal Breach of Trust,16552,2,15503,1.7,15368,1.6,15077,1.6,16157,1.7,15454,1.6,15512,1.6,14581,1.5,-11.9,NA,-6,NA,-5.6,NA
13,Cheating,24466,3,30678,3.3,33823,3.6,35228,3.7,38271,3.9,41403,4.2,35881,3.8,41701,4.2,70.4,NA,16.2,NA,0.7,NA
14,Counterfeiting,2576,0.3,2203,0.2,2796,0.3,2228,0.2,1353,0.1,1347,0.1,1985,0.2,2299,0.2,-10.8,NA,15.8,NA,70.7,NA
15,Arson,NA,NA,12028,1.3,12425,1.3,12363,1.3,12913,1.3,11218,1.1,12189,1.3,10392,1,NA,NA,-14.7,NA,-7.4,NA
16,Hurt,NA,NA,203812,22.2,223977,24,228497,23.9,235870,24.3,236313,24,225694,23.7,240580,24,NA,NA,6.6,NA,1.8,NA
17,Dowry Deaths,NA,NA,4648,0.5,5513,0.6,6006,0.6,6975,0.7,6699,0.7,5968,0.6,6995,0.7,NA,NA,17.2,NA,4.4,NA
18,Molestation,NA,NA,26856,2.9,28939,3.1,30764,3.2,30959,3.2,32311,3.3,29966,3.1,32940,3.3,NA,NA,9.9,NA,1.9,NA
19,Sexual Harassment,NA,NA,4689,0.5,5671,0.6,5796,0.6,8053,0.8,8858,0.9,6613,0.7,11024,1.1,NA,NA,66.7,NA,24.5,NA
20,Cruelty by Husband and Relatives,NA,NA,28579,3.1,35246,3.8,36592,3.8,41375,4.3,43823,4.4,37123,3.9,45778,4.6,NA,NA,23.3,NA,4.5,NA
21,Importation of Girls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,64,0,NA,NA,NA,NA,6300,NA
22,Other IPC Crimes,840709,101.7,722583,78.9,714587,76.7,726042,76,744422,76.7,763835,77.4,734294,77.1,779757,77.8,-7.3,NA,6.2,NA,2.1,NA
23,Total Cognizable Crimes Under IPC,1604449,194,1695696,185.1,1709576,183.4,1719820,180,1778815,183.2,1764629,178.9,1733707,182.1,1771084,176.7,10.4,NA,2.2,NA,0.4,NA
