SL. No.,Heads of Crime,"Percentage of Cases not Investigated, Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Murder,2.9,67.9,29.2,77.8
2,Culpable Homicide Not Amounting to Murder,5.5,65,29.6,73.4
3,Rape,8.4,62.2,29.5,78.6
4,Kidnapping & Abduction,19.2,51.1,29.7,61.3
5,Dacoity,7.7,50.1,42.2,60.2
6,Robbery,16.1,60.3,23.6,51.5
7,Burglary,4.8,79.4,15.8,32.6
8,Thefts,7,77.4,15.6,38
9,Riots,15,59,26,73.8
10,Criminal Breach of Trust,16.4,41.3,42.4,65.2
11,Cheating,10.8,50.5,38.7,59.3
12,Counterfeiting,6.4,43.5,50.1,39.6
13,Other I.P.C. Offences,10.3,72.1,17.6,81.1
14,Total Cognizable Crimes Under I.P.C.,8.8,72.1,19.1,54.4
