SL. No.,Heads of Crime,Number of Cases Reported During - 1969,Number of Cases Reported During - 1970,Number of Cases Reported During - 1971,Number of Cases Reported During - 1972,Number of Cases Reported During - 1973,Number of Cases Reported During - Quinquennial Average (1969-1973),Number of Cases Reported During - 1974,Change Over - Quinquennial Average,Change Over - 1973
1,Total IPC Cognizable Crime,21703,27226,26846,31199,36469,28689,40666,41.7,11.5
2,Murder,321,558,520,661,651,542,804,48.3,23.5
3,Kidnapping & Abduction,185,255,288,332,301,272,426,56.6,41.5
4,Dacoity,96,129,122,236,317,180,288,60,-9.2
5,Robbery,147,244,312,343,455,300,521,73.7,14.5
6,Burglary,3412,4093,4471,4950,6251,4635,7238,56.2,15.8
7,Thefts,9445,10462,10422,12083,14654,11413,16153,41.5,10.2
8,Riots,845,1888,1729,2536,3541,2108,3729,76.9,5.3
9,Criminal Breach of Trust,243,220,214,266,252,231,272,17.8,7.9
10,Cheating,233,174,224,201,190,204,252,23.5,32.6
11,Counterfeiting,NA,NA,2,5,NA,4,2,-75,NA
12,Miscellaneous,6776,9203,8542,9626,9857,8801,10982,24.8,11.4
