SL. No.,Category,State/U.Ts./Cities,1969,1970,1971,1972,1973,Quinquennial Average of 1969 to 1973 (Q.A.),1974,"Percentage Variation (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation (+) Increase, (-) Decrease - Over - 1973",Volume of Crime Per One Lakh of Population
1,State,Andhra Pradesh,40153,43942,46390,49914,51268,46333,55601,20,8.4,120.1
2,State,Assam,24925,25908,28199,30320,32007,28272,36238,28.2,13.2,225.4
3,State,Bihar,75333,84091,83270,82744,92068,83501,101100,21.1,9.8,169.2
4,State,Gujarat,33129,32225,32747,36157,45421,35936,55829,55.4,22.9,193.1
5,State,Haryana,8858,8902,8237,9104,9388,8898,10194,14.6,8.6,94.6
6,State,Himachal Pradesh,2278,2381,2494,3073,3342,2714,3783,39.4,13.2,105.5
7,State,Jammu & Kashmir,6131,6421,5518,6021,6622,6143,8693,41.5,31.3,176.4
8,State,Karnataka,35566,35566,36557,37786,44401,37975,49023,29.1,10.4,156.8
9,State,Kerala,28492,31617,29712,35442,41848,33422,43124,29,3,187.7
10,State,Madhya Pradesh,86946,83537,88548,95556,110811,93080,127302,36.8,14.9,282.5
11,State,Maharashtra,92135,96552,99125,104782,128992,104317,144432,38.5,12,267
12,State,Manipur,2351,2122,1931,1920,2201,2105,2820,34,28.1,245.4
13,State,Meghalaya,NA,NA,NA,1105,1322,485,1566,222.9,18.5,144.7
14,State,Nagaland,685,744,1004,1117,918,894,1088,21.7,18.5,201.1
15,State,Orissa,31395,31514,30502,31983,31252,31329,32207,2.8,3.1,137.3
16,State,Punjab,12926,12478,11433,12111,12511,12292,12878,4.8,2.9,89.4
17,State,Rajasthan,34995,36230,36743,39204,44229,38280,51102,33.5,15.5,184
18,State,Tamil Nadu,69114,63619,59616,71050,72443,67168,79862,18.9,10.2,182.1
19,State,Tripura,3439,2704,1785,2383,3009,2664,2373,-10.9,-21.1,142.5
20,State,Uttar Pradesh,150712,233754,236328,217731,220567,211818,244284,15.3,10.8,261.9
21,State,West Bengal,82662,84528,78546,77855,82312,81181,86600,6.7,5.2,181.8
Total (States),State,Total (States),822225,918835,918685,947358,1036932,928807,1150099,23.8,10.9,198.8
22,UT,A & N Islands,338,308,370,322,484,364,538,47.8,11.2,437.2
23,UT,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,188,NA,NA,37.5
24,UT,Chandigarh,1510,1484,1251,1156,1334,1347,1411,4.8,5.8,515
25,UT,D & N Haveli,106,106,84,101,84,96,131,36.5,56,165.8
26,UT,Delhi,17606,31241,29236,32589,34174,28969,33824,16.8,-1,716.9
27,UT,"Goa, Daman & Diu",1336,1195,1219,1321,1595,1333,2112,58.4,32.4,230.1
28,UT,Lakshadweep,38,28,19,18,9,22,10,-54.6,11.1,29.4
29,UT,Mizoram,NA,NA,NA,NA,NA,NA,501,NA,NA,137.3
30,UT,Pondicherry,2008,2225,1717,1908,2569,2085,3463,66.1,34.8,685.7
Total (UTs),UT,Total (UTs),22942,36587,33896,37415,40249,34218,42178,23.3,4.8,516.1
Total (All-India),Total (All-India),Total (All-India),845167,955422,952581,984773,1077181,963025,1192277,23.8,10.7,203.4
1,City,Ahmedabad,3578,3269,3060,3212,4730,3570,6588,84.5,39.3,370.1
2,City,Bangalore,8051,7778,8961,7555,9356,8348,10688,28.2,14.2,622.8
3,City,Bombay,25289,25763,25066,25970,31920,26802,33992,26.8,6.5,498.4
4,City,Calcutta,10801,10588,10911,9793,11555,10730,11874,10.7,2.8,368.1
5,City,Delhi,16254,28890,26933,30054,32722,26971,32307,19.8,-1.3,752.4
6,City,Hyderabad,3593,3470,3794,4089,4855,3960,4999,26.2,3,272.3
7,City,Kanpur,6703,8656,9659,10104,10003,9025,9003,-0.2,-10,708.3
8,City,Madras,11707,10794,7205,13015,14204,11385,17257,51.6,21.5,613.5
Total (Cities),City,Total (Cities),85976,99208,95589,103792,119345,100782,126708,25.7,6.2,533.4
