SL. No.,Crime Heads,Percentage of New Offenders Arrested to Total Arrested,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Once,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Twice,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Three times or more
1,Murder,94.3,4.8,0.7,0.2
2,Culpable Homicide Not Amounting to Murder,92,7,0.8,0.2
3,Rape,91.9,7.1,0.9,0.1
4,Kidnapping & Abduction,96,3.2,0.6,0.2
5,Dacoity,87.3,8.1,3,1.6
6,Robbery,90.2,6.9,2,0.9
7,Burglary,85.5,9.5,3,2
8,Thefts,84.9,10,3.2,1.9
9,Riots,96.4,2.9,0.5,0.2
10,Criminal Breach of Trust,93.9,5.2,0.6,0.3
11,Cheating,92.2,6.3,0.8,0.7
12,Counterfeiting,91.7,7.4,0.9,NA
13,Total Cognizable Crime,92.3,5.5,1.5,0.7
