SL. No.,Heads of Crime,Percentage of Cases not Investigated or Mistake of Fact or Law or Non Cognizable to Total Cases for Investigation,Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Arms Act,0.7,85,14.3,98.1
2,Opium Act,0.3,75.2,24.5,98.2
3,Gambling Act,0.1,95.5,4.4,99.7
4,Excise Act,0.3,88.2,11.5,98.8
5,Prohibition Act,2.6,59.4,38,87.5
6,Explosives & Explosive Substances Act,3.3,62.2,34.5,75.8
7,Suppression of Immoral Traffic Act,0.1,97.2,2.7,99.9
8,Motor Vehicles Act,0.1,95.6,4.3,99.9
9,Prevention of Corruption Act,2.4,39.6,58,80
10,Customs Act,24.8,49.2,26,58.5
11,Indian Railways Act,0.8,97.1,2.1,96.2
12,Other Offences,1,96.5,2.5,99.2
13,Total,1,88.6,10.4,97.9
