SL. No.,Heads of Crime,Total Number of Cases for Investigation During the Year Including Cases Carried over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid
1,Arms Act,46351,314,39410,6627,38675
2,Opium Act,15108,37,11363,3708,11161
3,Gambling Act,204145,100,194953,9092,194329
4,Excise Act,175135,580,154418,20137,152500
5,Prohibition Act,516749,13659,306683,196407,268345
6,Explosives & Explosive Substances Act,2611,87,1623,901,1230
7,Suppression of Immoral Traffic Act,15062,15,14634,413,14615
8,Motor Vehicles Act,680386,609,650339,29438,649582
9,Prevention of Corruption Act,493,12,195,286,156
10,Customs Act,250,62,123,65,72
11,Indian Railways Act,27719,219,26908,592,25882
12,Other Offences,1159899,11082,1119895,28922,1110765
13,Total,2843908,26776,2520544,296588,2467312
