SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from prevoius year,Total number of persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation
1,Murder,54254,9469,40586,17.4,74.8
2,Culpable Homicide Not Amounting to Murder,5906,1140,4281,19.3,72.5
3,Rape,4801,949,3367,19.8,70.1
4,Kidnapping & Abduction,16503,3617,10328,21.9,62.6
5,Dacoity,71439,18832,35259,26.4,49.4
6,Robbery,26855,4555,18196,17,67.8
7,Burglary,133573,16007,100784,12,75.4
8,Thefts,281560,30327,220810,10.8,78.4
9,Riots,492488,78287,356441,15.9,72.4
10,Criminal Breach of Trust,21045,6350,12579,30.3,59.8
11,Cheating,15759,4297,9905,27.3,62.8
12,Counterfeiting,700,264,366,37.7,52.3
13,Total Cognizable Crime,1681564,240737,1267662,14.3,75.4
