SL. No.,Heads of Crime,Total Number of Cases for Investigation During the Year Including Cases Carried Over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Fact or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid
1,Murder,25460,747,17288,7425,13454
2,Culpable Homicide Not Amounting to Murder,3371,184,2191,996,1609
3,Rape,4066,340,2527,1199,1987
4,Kidnapping & Abduction,14673,2814,7498,4361,4598
5,Dacoity,20803,1601,10421,8781,6276
6,Robbery,27599,4445,16639,6515,8572
7,Burglary,232380,11111,184626,36643,60221
8,Thefts,500215,35049,386995,78171,147239
9,Riots,104933,15766,61905,27262,45716
10,Criminal Breach of Trust,37501,6130,15473,15898,10082
11,Cheating,23351,2523,11795,9033,6999
12,Counterfeiting,1261,81,548,632,217
13,Other IPC Offences,432822,44563,312140,76119,253197
14,Total Cognizable Crimes,1428435,125354,1030046,273035,560167
