SL. No.,Heads of Crime,Incidence - 1964,Volume - 1964,Incidence - 1969,Volume - 1969,Incidence - 1970,Volume - 1970,Incidence - 1971,Volume - 1971,Incidence - 1972,Volume - 1972,Incidence - 1973,Volume - 1973,Incidence - Quinquennial Average (Q.A.) - 1969 -1973,Incidence - 1974,Volume - 1974,"Percentage Variation (+) Increase, (-) Decrease - Over 1964","Percentage Variation (+) Increase, (-) Decrease - Over Quinquennial Average","Percentage Variation (+) Increase, (-) Decrease - Over 1973"
1,Total Cognizable Crime,759013,162.1,845167,161.8,955422,178.8,952581,174.3,984773,176.5,1077181,187.9,963025,1192277,203.4,57.1,23.8,10.7
2,Murder,11748,2.5,14732,2.8,15708,2.9,16180,3,15475,2.8,17072,3,15833,18649,3.2,58.7,17.8,9.2
3,Kidnapping and Abduction,8050,1.7,8464,1.6,10111,1.9,9647,1.8,9402,1.7,10223,1.8,9569,10543,1.8,31,10.2,3.1
4,Dacoity,5287,1.1,6049,1.2,9837,1.8,11193,2,10411,1.9,10627,1.9,9623,13697,2.3,159.1,42.3,28.9
5,Robbery,8336,1.8,9922,1.9,16958,3.2,18402,3.4,17054,3.1,18857,3.3,16239,22286,3.8,167.3,37.2,18.2
6,Burglary,153862,32.9,145429,27.8,166339,31.1,165807,30.3,167062,29.9,181433,31.6,165214,199878,34.1,29.9,21,10.2
7,Thefts,273676,58.5,300140,57.4,337211,63.1,335204,61.3,346382,62.1,379412,66.2,339670,436918,74.5,59.6,28.6,15.2
8,Riots,32693,7,55796,10.7,68331,12.8,64114,11.7,65781,11.8,73388,12.8,65482,80547,13.7,146.4,23,9.8
9,Criminal Breach of Trust,21180,4.5,21118,4,22679,4.2,20270,3.7,21004,3.8,21837,3.8,21382,22274,3.8,5.2,4.2,2
10,Cheating,11670,2.5,12001,2.3,12331,2.3,11412,2.1,12646,2.3,14392,2.5,12556,15380,2.6,31.8,22.5,6.9
11,Counterfeiting,317,0.1,739,0.1,650,0.1,641,0.1,670,0.1,582,0.1,656,718,0.1,126.5,9.5,23.4
12,Other IPC Offences,232194,49.6,270777,51.8,295267,55.3,299711,54.9,318886,57.2,349358,60.9,306800,371387,63.4,59.9,21.1,6.3
