SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases During the Year,Percentage of Cases in which Trials were Completed to Total Cases Under Trial During the Year,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Conviction to Cases in which Trials were Completed
1,Arms Act,0.1,26.2,73.7,72.7
2,Opium Act,0.1,48.2,51.7,78.2
3,Gambling Act,0.3,71.7,28,89.8
4,Excise Act,0.8,63.7,35.5,81.1
5,Prohibition Act,2.6,10.5,86.9,81.2
6,Explosives & Explosive Substances Act,1.7,42.3,56,70
7,Suppression of Immoral Traffic Act,0.8,55.1,44.1,72.5
8,Motor Vehicles Act,3.7,84.8,11.5,95.6
9,Prevention of Corruption Act,1,64.5,34.5,94.6
10,Customs Act,0.2,31,68.8,45.8
11,Indian Railways Act,0.4,88.7,10.9,98
12,Other Offences,0.5,85.8,13.7,97.5
13,Total,0.7,71.3,28,92.4
