SL. No.,Category,States/U.Ts/Cities,Year - 1973,Year - 1974,Percentage Variations in 1973 Over 1974
1,State,Andhra Pradesh,73646,76106,3.3
2,State,Assam,43463,64381,48.1
3,State,Bihar,143925,148991,3.5
4,State,Gujarat,59691,80294,34.5
5,State,Haryana,14581,14509,-0.5
6,State,Himachal Pradesh,5414,6008,11
7,State,Jammu & Kashmir,11010,12766,16
8,State,Karnataka,63542,69508,9.4
9,State,Kerala,70829,64883,-8.4
10,State,Madhya Pradesh,126913,151818,19.6
11,State,Maharashtra,141134,159282,12.9
12,State,Manipur,3467,3349,-3.4
13,State,Meghalaya,1501,1975,31.6
14,State,Nagaland,872,715,-18
15,State,Orissa,35567,38383,7.9
16,State,Punjab,19651,21189,7.8
17,State,Rajasthan,71580,77776,8.7
18,State,Tamil Nadu,104129,92727,-11
19,State,Tripura,2821,2953,4.7
20,State,Uttar Pradesh,203894,224501,10.1
21,State,West Bengal,125013,132854,6.3
Total (States),State,Total (States),1322643,1444968,9.2
22,UT,A & N Islands,493,588,19.3
23,UT,Arunachal Pradesh,NA,189,NA
24,UT,Chandigarh,3921,1685,-57.8
25,UT,D & N Haveli,87,834,858.6
26,UT,Delhi,48424,18834,-61.1
27,UT,"Goa, Daman & Diu",2058,2858,38.9
28,UT,Lakshadweep,15,5,-66.7
29,UT,Mizoram,NA,536,NA
30,UT,Pondicherry,2918,3720,32
Total (UTs),UT,Total (UTs),57887,29249,-49.5
Total (All-India),Total (All-India),Total (All-India),1380530,1474217,6.8
1,City,Ahmedabad,5216,7592,45.6
2,City,Bangalore,4696,5699,21.4
3,City,Bombay,24311,25406,4.5
4,City,Calcutta,18108,19870,9.7
5,City,Delhi,47182,18193,-61.4
6,City,Hyderabad,3185,3847,20.8
7,City,Kanpur,3173,4245,33.8
8,City,Madras,13592,12702,-6.6
Total (Cities),City,Total (Cities),119463,97554,-18.3
