SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial,Percentage of Cases in which Trials were Completed to Total Cases for Trial,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Ended in Conviction to Total Cases for which Trials were Completed
1,Murder,0.7,34.7,64.6,48.8
2,Culpable Homicide Not Amounting to Murder,0.7,24,75.3,51.3
3,Rape,0.9,28.4,70.6,42.5
4,Kidnapping & Abduction,1.6,23.8,74.6,38.3
5,Dacoity,0.3,19.2,80.6,37.5
6,Robbery,1,21.4,77.6,46
7,Burglary,2.4,30.5,67.1,68
8,Thefts,4.6,32.3,63.1,75.1
9,Riots,5,15.7,79.4,32.8
10,Criminal Breach of Trust,3.4,21.8,74.8,62.1
11,Cheating,5.5,21.5,73,61
12,Counterfeiting,21.4,19.3,59.2,51.6
13,Other IPC Offences,8.5,28.7,62.8,60.7
14,Total Cognizable Crime,5.8,27.8,66.4,62.7
