Sr. No.,Category,States/ UTs,Total No. of Persons under Trial Including those from Previous Year,No of Persons whose Cases Compounded or Withdrawn,No of Persons whose Trial Completed,No of Persons whose Trial Remained Pending,No of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,522923,573,475325,47025,450554,9,0.9
2,State,Arunachal Pradesh,624,0,15,609,10,97.6,0
3,State,Assam,16333,81,3205,13047,582,79.9,0.2
4,State,Bihar,72018,248,8388,63382,2022,88,1.1
5,State,Chhattisgarh,186423,7430,150551,28442,139835,15.3,0.5
6,State,Goa,10555,14,3830,6711,3449,63.6,0.1
7,State,Gujarat,1696461,3913,93919,1598629,23989,94.2,29
8,State,Haryana,165517,259,35034,130224,19897,78.7,2.4
9,State,Himachal Pradesh,31125,267,4999,25859,873,83.1,0.5
10,State,Jammu & Kashmir,23085,31,2392,20662,801,89.5,0.4
11,State,Jharkhand,16235,364,2523,13348,806,82.2,0.2
12,State,Karnataka,88838,316,31256,57266,19271,64.5,1
13,State,Kerala,165935,676,48374,116885,33652,70.4,2.1
14,State,Madhya Pradesh,369482,2506,228174,138802,214043,37.6,2.5
15,State,Maharashtra,1590775,35853,116318,1438604,18447,90.4,26.1
16,State,Manipur,1713,2,82,1629,39,95.1,0
17,State,Meghalaya,1125,0,90,1035,67,92,0
18,State,Mizoram,925,0,372,553,268,59.8,0
19,State,Nagaland,3081,0,1985,1096,1983,35.6,0
20,State,Orissa,62562,15,9406,53141,2771,84.9,1
21,State,Punjab,87956,90,19237,68629,13978,78,1.2
22,State,Rajasthan,161316,408,43493,117415,37092,72.8,2.1
23,State,Sikkim,34,9,8,17,0,50,0
24,State,Tamil Nadu,575460,9979,400259,165222,343340,28.7,3
25,State,Tripura,276,0,70,206,12,74.6,0
26,State,Uttar Pradesh,2014884,1278,823452,1190154,749796,59.1,21.6
27,State,Uttarakhand,113382,12,63182,50188,62323,44.3,0.9
28,State,West Bengal,1483251,656,1432176,50419,1427618,3.4,0.9
State,State,Total (States),9462294,64980,3998115,5399199,3567518,57.1,97.8
29,Union Territory,A & N Islands,17111,0,4221,12890,4216,75.3,0.2
30,Union Territory,Chandigarh,2467,0,1150,1317,1111,53.4,0
31,Union Territory,D & N Haveli,174,1,17,156,1,89.7,0
32,Union Territory,Daman & Diu,62,0,1,61,0,98.4,0
33,Union Territory,Delhi,115236,0,10440,104796,5643,90.9,1.9
34,Union Territory,Lakshadweep,2,0,0,2,0,100,0
35,Union Territory,Puducherry,2288,0,1820,468,1714,20.5,0
Union Territory,Union Territory,Total (UTs),137340,1,17649,119690,12685,87.1,2.2
Total (All-India),Total (All-India),Total (All-India),9599634,64981,4015764,5518889,3580203,57.5,100
