Sr. No.,Crime Head,Total No. of Persons under Arrest* Including those from Previous Year,Persons Released before Trial - No.,Persons Released before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons under Investigation at the end of the Year - No.,Persons under Investigation at the end of the Year - Percentage to Total
1,Murder,91825,3598,3.9,62771,68.4,25456,27.7
2,Attempt to Commit Murder,86981,3334,3.8,65921,75.8,17726,20.4
3,C.H. Not Amounting Murder,9626,424,4.4,6540,67.9,2662,27.7
4,Rape - Total,28896,1000,3.5,21097,73,6799,23.5
4,Rape - i) Custodial Rape,1,0,0,0,0,1,0
4,Rape - ii) Other Rape,28895,1000,3.5,21097,73,6798,23.5
5,Kidnapping & Abduction - Total,43064,3136,7.3,26480,61.5,13448,31.2
5,Kidnapping & Abduction - i) of Women & Girls,26319,1911,7.3,16124,61.3,8284,31.5
5,Kidnapping & Abduction - ii) of Others,16745,1225,7.3,10356,61.8,5164,30.8
6,Dacoity,32422,2766,8.5,16967,52.3,12689,39.1
7,Preparation & Assembly for Dacoity,13417,692,5.2,8961,66.8,3764,28.1
8,Robbery,38156,2482,6.5,23624,61.9,12050,31.6
9,Burglary,78003,6647,8.5,55702,71.4,15654,20.1
10,Theft - Total,231631,23503,10.1,157016,67.8,51112,22.1
10,Theft - i) Auto Theft,47203,5621,11.9,30047,63.7,11535,24.4
10,Theft - ii) Other Theft,184428,17882,9.7,126969,68.8,39577,21.5
11,Riots,407410,17783,4.4,311185,76.4,78442,19.3
12,Criminal Breach of Trust,21842,1180,5.4,13391,61.3,7271,33.3
13,Cheating,69385,3262,4.7,44909,64.7,21214,30.6
14,Counterfeiting,4141,211,5.1,2443,59,1487,35.9
15,Arson,15549,1133,7.3,10661,68.6,3755,24.1
16,Hurt,557334,14505,2.6,471590,84.6,71239,12.8
17,Dowry Deaths,23087,1109,4.8,16808,72.8,5170,22.4
18,Molestation,49746,1316,2.6,42223,84.9,6207,12.5
19,Sexual Harassment,13989,171,1.2,12459,89.1,1359,9.7
20,Cruelty by Husband and Relatives,146078,5588,3.8,118367,81,22123,15.1
21,Importation of Girls,95,0,0,59,62.1,36,37.9
22,Causing Death by Negligence,71476,1844,2.6,57304,80.2,12328,17.2
23,Other IPC Crimes,1146483,41757,3.6,940292,82,164434,14.3
Total Cognizable Crimes under IPC,Total Cognizable Crimes under IPC,3180636,137441,4.3,2486770,78.2,556425,17.5
