Sr. No.,Year,Estimated Mid-Year Population (in Lakhs)**,Incidence - IPC,Incidence - SLL,Incidence - Total,Rate - IPC,Rate - SLL,Rate - Total,Percentage of IPC Crimes to Total Cognizable Crimes
1,1994,9000,1635251,3876994,5512245,181.7,430.8,612.5,29.7
2,1995,9160,1695696,4297476,5993172,185.1,469.2,654.3,28.3
3,1996,9319,1709576,4586986,6296562,183.4,492.2,675.6,27.2
4,1997,9552,1719820,4691439,6411259,180,491.1,671.2,26.8
5,1998,9709,1778815,4403288,6182103,183.2,453.5,636.7,28.8
6,1999,9866,1764629,3147101,4911730,178.9,319,497.8,35.9
7,2000,10021,1771084,3396666,5167750,176.7,338.9,515.7,34.3
8,2001,10270,1769308,3575230,5344538,172.3,348.1,520.4,33.1
9,2002,10506,1780330,3746198,5526528,169.5,356.6,526,32.2
10,2003,10682,1716120,3778694,5494814,160.7,353.7,514.4,31.2
11,2004,10856,1832015,4196766,6028781,168.8,386.6,555.3,30.4
12,Percentage Change in 2004 over 1994,20.6,12,8.2,9.4,-7.1,-10.3,-9.3,2.4
13,Compound Growth Rate Per Annum,1.9,0.7,-1.4,-0.8,-1.2,-3.2,-2.6,1.5
